car,move
K,-4
S,-3
T,-6
G,-3
J,-1
Q,-2
U,-2
L,2
M,-3
L,-2
V,-2
R,-3
N,2
X,-2
H,2
I,-4
C,2
D,-1
P,-4
O,1
H,3
X,3
