car,move
O,1
D,1
A,-2
B,-2
A,-2
AL,-1
D,-1
A,-2
I,-1
J,2
H,3
G,-1
F,4
E,2
O,-1
AF,-1
AE,1
AH,2
AI,-3
W,3
Y,-1
U,1
R,-2
M,-1
AE,-1
T,-2
AF,1
X,8
