car,move
AC,-1
Q,-1
Q,1
AD,-1
C,1
U,1
AB,1
W,1
W,-1
M,-1
U,-2
U,2
A,1
P,1
C,-2
W,1
AD,1
AE,-1
U,-2
U,2
AB,-1
AO,-2
AQ,2
AD,-1
C,2
AD,1
T,-1
AN,-1
AO,1
A,1
AM,2
A,-1
AG,1
AD,-1
B,1
AD,1
T,-1
AB,1
P,-1
W,1
AB,-1
B,-1
T,1
C,-1
AI,2
AD,-1
U,-1
AK,-1
AC,2
AM,-1
C,-1
Y,1
U,-1
V,1
AC,-1
AG,-1
J,1
AD,1
C,2
AC,1
C,-2
U,1
AI,1
AO,-1
AK,1
AH,-1
AD,-1
L,1
AO,1
C,1
AK,-1
AR,-1
S,1
AQ,-1
AE,-1
A,-1
C,1
Q,1
C,1
AO,2
T,-1
S,-1
AC,-1
AH,1
C,-1
S,1
K,1
N,1
AH,-1
AL,1
AP,1
AQ,-1
K,-1
B,1
AQ,1
P,1
N,-1
AE,1
C,1
B,-1
AP,-1
AO,-1
AM,2
B,1
AD,1
U,-1
S,1
K,1
AC,-1
A,2
AQ,-1
S,-1
AR,1
P,-1
R,-1
AC,1
K,-1
C,-2
P,1
P,-1
C,1
S,-1
AM,-2
S,1
L,-1
S,1
L,1
AL,-1
AA,-1
AD,-1
Q,-1
R,1
AH,-1
AL,1
S,-1
AC,-1
Q,1
M,-1
AL,-1
AB,1
U,1
L,-1
U,-1
F,-1
AK,1
AQ,1
L,1
R,-1
H,-1
AO,-1
L,-1
AH,2
H,1
AD,1
AH,-1
F,1
AB,-1
U,1
F,-1
F,1
U,-1
P,1
J,-1
AH,1
AK,-1
AI,-1
AD,-1
AK,1
AK,-1
AB,1
M,1
AD,1
AA,1
C,-1
AK,1
AK,-1
AI,-2
B,-1
P,-1
AM,1
C,2
Q,1
X,1
X,2
