car,move
AF,-1
AL,-1
AH,2
AI,-3
AE,1
W,3
AE,-2
Y,-1
AF,1
O,1
U,4
D,1
A,-4
N,3
G,2
D,-1
F,2
E,2
B,-2
I,-1
R,-2
J,-1
H,3
F,3
O,-1
M,-1
T,-2
X,8
