car,move
<<<<<<< HEAD
=======
A,-2
B,-2
C,-1
D,-1
G,-2
H,-1
F,2
X,-1
K,-2
I,-3
L,-3
K,2
F,-1
H,3
X,3
>>>>>>> f6196a79503b7d8796c770fdaf119a222cdc798d
