car,move
V,1
Q,1
K,1
G,1
V,-1
Q,-1
J,1
D,1
W,-1
H,-1
W,1
M,1
B,1
K,-1
V,1
H,1
G,-1
M,-1
G,1
G,-1
W,-1
A,1
Q,1
Y,-1
U,1
B,2
H,-1
K,1
M,1
Q,-1
D,-1
I,-1
M,-1
H,2
H,1
M,-1
Q,1
M,2
I,1
N,-1
Q,-1
P,1
T,-1
G,-1
U,-1
I,-1
A,1
M,-2
P,-1
U,1
U,-1
G,2
C,-1
O,-1
M,2
V,-1
K,1
T,1
N,-1
U,1
K,-1
A,-1
K,1
N,1
U,-1
I,1
L,-1
H,1
U,1
D,1
Y,1
N,-2
B,-1
U,-1
Q,1
Q,-1
U,1
Q,1
Y,-1
V,-2
Y,1
W,1
S,1
Q,-1
N,2
A,1
W,-1
B,1
T,-1
M,-2
U,1
T,1
A,-2
S,-1
Q,1
Q,-1
Q,1
W,1
X,1
A,2
A,-1
Q,-1
U,-1
N,-1
S,1
K,3
G,1
G,1
Q,1
P,-1
U,1
K,-1
X,1
K,1
U,-1
S,-1
G,-2
V,1
D,-1
J,-1
W,-1
Y,-1
Q,-2
N,-1
O,-1
L,1
T,-1
U,1
O,1
W,-1
R,-1
W,1
T,1
P,1
N,1
U,-1
W,-1
V,1
A,-1
Q,-1
J,1
W,1
Q,1
P,-1
G,1
N,-1
J,-1
A,1
G,-1
N,1
X,1
R,1
N,-1
T,-1
G,1
V,1
M,2
Q,-2
R,-1
P,1
M,-1
X,4
