car,move
H,1
AF,-1
AL,-1
G,-1
L,1
N,-1
U,-1
AG,-1
AJ,-1
K,1
K,-1
L,-1
AP,-2
AH,1
AE,-1
AM,-1
AM,1
J,2
P,1
P,-1
J,-1
AL,1
J,-1
AA,-1
AP,1
H,-1
L,1
AE,1
K,1
AA,1
U,1
K,-1
H,1
AG,2
M,1
AP,1
AF,1
AJ,1
AG,-1
L,-1
J,2
AQ,-1
H,-1
AJ,-1
H,1
AA,-1
AP,-1
AF,-1
AL,-1
H,-1
AG,-1
AD,1
AA,1
AM,-1
AD,-1
H,1
P,1
AD,1
AM,1
AM,-1
H,-1
M,-1
H,1
AB,-1
AA,-1
AM,1
AP,-2
P,-1
M,1
M,-1
H,-1
U,-1
AM,-1
AO,1
AP,2
AD,-1
J,-2
AG,1
AG,-1
AQ,1
AC,-2
H,1
AP,-1
P,1
AK,-1
H,-1
AE,-1
AC,1
AR,-1
AE,1
H,1
J,3
AC,-2
AA,-1
AD,1
AC,2
AC,-2
H,-1
AQ,-1
U,1
AP,1
AO,1
U,-1
AO,-1
AP,-1
U,1
H,1
AO,2
L,1
L,-1
H,-1
H,1
AM,1
H,-1
AC,2
AL,1
M,1
AP,1
J,-2
J,2
L,1
M,-1
AP,-1
N,1
L,-1
AD,-1
H,1
AA,2
AO,-1
AE,-1
AC,-1
AA,-1
N,-1
AO,1
J,-2
M,1
J,-1
P,1
AG,-1
J,1
P,-1
AP,2
AA,1
AC,1
P,-1
M,-1
AJ,1
J,-1
H,-1
P,2
AC,-1
AL,-1
L,1
AC,1
P,-2
AJ,-1
P,1
AP,-1
L,-1
AM,-1
J,1
U,-1
J,1
AM,1
AL,1
J,-1
AO,-2
AQ,1
AP,-1
AC,-1
AO,-1
AC,1
AR,1
AP,1
J,1
AR,-1
J,-2
L,1
AC,-1
AP,1
K,1
AJ,1
AC,1
AA,-1
AA,1
AR,1
AR,-1
H,1
AG,1
AR,1
AL,-1
AG,-1
AR,-1
AR,1
AC,-1
AH,1
AC,1
K,-1
AA,-2
AK,1
AH,-1
AG,2
AE,2
AK,-1
L,-1
AE,-2
AC,-2
U,1
AR,-1
AB,1
H,-1
J,3
AE,2
AD,1
AM,-1
H,1
AD,1
H,-1
N,1
AD,-2
AE,-2
AR,1
N,-1
AF,1
L,1
AA,1
AG,1
AF,-1
L,-1
H,1
AE,3
AJ,-1
AM,1
H,-1
M,1
AH,1
J,-1
M,-1
H,1
U,-1
AB,-1
AH,-1
AC,2
AA,1
AE,-3
AC,-1
AK,1
AF,1
AK,-1
AK,1
AK,-1
O,1
AK,1
J,-1
AG,-1
AH,1
D,1
AG,1
AJ,1
J,2
AG,-1
L,1
AJ,-1
AA,-1
K,1
AG,1
AP,-1
A,-1
A,1
AC,1
AO,1
U,1
N,1
G,1
A,-4
B,-3
I,-1
AO,-1
AC,-1
B,-1
AC,1
AH,-1
A,-1
AG,-1
AQ,-1
AO,2
AH,1
AK,-1
AK,1
G,-1
I,1
H,-1
K,-1
K,1
F,1
E,1
I,-1
E,-1
AI,-1
P,-1
E,1
AK,-1
A,-1
H,1
P,1
AR,-1
I,1
C,1
AA,-1
A,-1
K,-1
I,-1
H,-1
K,1
A,1
AC,-2
I,1
AQ,-1
AE,1
I,-1
AR,1
AK,1
AK,-1
A,-1
AC,1
B,1
AA,1
AD,1
AR,-1
AA,1
AD,-1
AR,1
AA,-2
AO,-2
AO,1
D,-1
I,1
AD,1
AK,1
AC,-1
AQ,2
B,2
AA,-1
AB,1
D,1
AA,2
K,-1
H,1
P,-1
B,1
AD,-1
A,2
AB,-1
AD,1
L,-1
AB,1
AQ,-2
L,1
B,-3
P,1
B,1
AO,-1
AD,-1
A,-1
P,-1
K,1
AE,-1
K,-1
AE,1
I,-1
B,-2
AD,1
P,1
AP,1
C,-1
AB,-1
L,-1
C,1
AI,-2
AB,1
B,2
J,-3
AI,2
D,-1
I,1
C,-1
AI,-2
D,1
L,1
AD,-1
AJ,1
AE,-1
C,1
AA,-1
AA,1
AB,-1
J,-1
AI,3
AQ,1
A,-1
L,-1
AJ,-1
AQ,-1
AE,1
I,-1
AK,-1
L,1
AP,-1
AP,1
D,-1
L,-1
AE,-1
AH,-1
AJ,1
L,1
AE,1
AB,1
AM,-1
AM,1
AR,-1
AJ,-1
AM,-1
I,1
AD,1
AQ,2
H,-2
K,1
P,-1
A,1
P,1
J,1
AM,1
H,2
AH,1
A,-1
AD,-1
K,-1
A,1
B,1
AB,-1
L,-1
F,2
P,-1
E,1
AJ,1
G,1
J,2
G,-1
AJ,-1
R,-1
J,-2
A,-1
AG,1
B,-1
R,-1
X,-1
AC,1
E,1
AR,1
AG,-1
P,1
AA,1
E,-1
J,2
P,-1
N,-1
J,1
AI,-2
AD,1
A,2
AK,1
AQ,-2
R,-1
W,-1
V,1
L,1
P,1
M,-1
U,-1
AA,-2
AC,-1
AJ,1
K,1
V,-1
M,1
AA,1
C,-1
AQ,1
Q,-1
W,1
AB,1
I,-1
P,-1
H,1
H,-1
I,1
M,-1
AB,-1
I,-1
U,1
AB,1
R,1
I,1
AQ,1
X,1
N,1
AJ,-1
K,-1
AJ,1
AG,1
K,1
AB,-1
A,-1
AD,-1
E,1
AJ,-1
AB,1
Q,1
X,-1
M,1
B,1
AJ,1
K,-1
AG,-1
R,1
W,-1
Q,-1
L,-1
AG,1
V,1
L,1
R,-1
AB,-1
AK,-1
V,-1
AG,-1
A,1
L,-1
AE,-1
AJ,-1
A,-1
X,-1
AJ,1
V,1
AK,1
J,-1
AB,1
AB,-1
AC,1
AC,-1
AJ,-1
AJ,1
AQ,-1
X,1
E,-1
B,-2
AJ,-1
AJ,1
AE,1
A,1
E,1
AJ,-1
A,-1
E,-1
AJ,1
AC,2
V,-1
W,1
A,1
N,-1
N,1
AC,1
AC,-3
AJ,-1
R,-1
W,-1
AC,2
X,-1
AC,1
AP,-1
J,1
F,-1
B,2
X,1
AA,1
AE,-1
P,1
AI,-1
F,1
AP,1
AP,-1
V,1
AE,1
AO,1
E,1
Q,1
AB,1
AD,1
AA,-2
Q,-1
AO,-1
V,-1
AD,-1
AP,1
R,1
Q,1
AQ,1
V,1
R,1
AA,2
AE,-1
R,-2
AQ,-1
Q,-1
B,-2
I,-1
E,-1
AQ,1
Q,1
J,-1
AJ,1
R,1
B,1
C,1
R,-1
AI,2
F,-1
AG,1
C,-1
AG,-1
AG,1
AE,1
AI,-1
R,1
AA,-2
B,-1
M,-1
H,-1
B,1
I,1
AA,4
B,1
AB,-1
J,-2
B,-2
A,-1
AE,-1
C,1
AA,-1
AC,-2
P,1
AI,1
V,-1
B,3
H,1
P,-1
J,2
Y,-1
F,1
B,-2
C,-1
G,1
AE,1
U,1
U,-1
A,2
I,-1
C,1
C,-1
H,1
T,-1
R,-1
T,1
J,-3
AE,-1
AK,-1
J,3
A,-1
AA,1
AC,-1
AK,1
U,1
AI,-1
AA,1
AG,-1
U,2
F,1
G,-1
AC,3
AI,1
D,1
AQ,-1
G,1
G,-1
B,-1
U,-1
D,-1
