car,move
M,2
A,1
K,-1
A,-1
B,1
G,-1
B,-1
S,-1
S,1
M,-2
K,1
B,1
K,-1
E,1
G,1
E,-1
E,1
G,-1
G,1
B,1
M,1
B,-1
G,-1
B,-1
B,2
A,-1
B,-1
I,-1
K,1
K,-1
F,-1
E,1
G,1
K,1
G,-1
G,1
I,1
M,-1
E,-2
M,2
K,-1
G,-1
M,-2
M,1
S,-1
K,1
T,-1
M,1
K,-1
J,-1
E,1
M,-1
O,-1
K,1
M,1
O,1
G,1
K,-1
J,1
I,-1
F,1
G,-1
I,1
F,-1
U,-1
K,1
M,-1
K,-1
U,1
M,1
U,-1
F,1
A,2
G,1
P,1
A,-2
E,-1
A,1
H,1
E,1
I,-1
K,1
I,1
M,-1
G,-1
I,-1
B,-1
G,1
H,-1
M,1
S,-3
H,1
K,-1
S,-1
K,1
A,1
M,-1
K,-1
S,-1
B,1
H,-1
P,-1
U,1
T,1
M,1
G,-1
A,-1
R,1
I,1
K,1
E,-1
K,-1
S,-1
K,1
A,-1
G,1
K,-1
S,3
R,-1
E,1
T,-1
U,-1
F,-1
S,-1
J,-1
S,-2
S,1
M,-1
J,1
M,-1
E,-1
S,2
E,2
M,1
I,-1
S,-3
M,1
U,1
S,2
K,1
K,-1
M,-1
T,1
I,1
S,1
I,-1
M,1
S,-3
M,-1
K,1
I,1
K,-1
R,1
R,-1
S,2
E,-2
S,-1
R,1
E,3
K,1
R,-1
E,-2
T,-1
S,4
E,2
E,-3
M,1
U,-1
G,-3
S,-1
U,1
M,-2
D,2
M,1
C,-1
H,-1
T,1
P,-1
M,-1
H,-1
C,-1
M,1
R,1
P,-1
M,1
P,1
R,-1
R,1
P,-1
R,-1
R,1
R,-1
P,1
M,-2
M,2
H,1
R,1
H,-1
P,-1
M,-2
P,1
H,1
H,-1
H,1
C,1
H,-1
R,-1
M,2
R,1
H,1
S,1
P,1
S,-1
S,1
C,-1
R,-1
T,-1
U,-1
S,-1
H,1
U,1
S,2
U,-1
P,1
M,-1
H,-1
K,1
S,-2
M,1
S,2
M,-1
D,1
C,1
D,-1
K,-1
S,-2
C,-1
K,1
M,-1
C,1
H,-1
C,-1
H,2
D,1
M,2
C,2
D,2
G,3
C,-1
F,1
D,-1
S,-4
E,1
C,1
I,-1
S,1
S,5
F,-1
C,-2
F,1
H,-1
F,-1
J,-1
J,1
J,-1
H,-1
I,1
I,-1
S,-1
I,1
C,1
J,1
S,-5
F,1
G,-1
D,1
H,2
A,1
G,1
H,-2
B,1
B,-1
H,1
B,-1
E,-1
S,3
D,-1
S,-1
A,1
C,-1
A,4
B,1
A,-5
B,-1
E,1
S,2
C,1
A,1
E,-1
A,3
B,1
A,-3
E,1
I,-1
I,1
G,-1
H,-1
I,-1
G,1
G,-1
B,-1
D,1
I,1
C,-1
S,1
C,1
A,-1
B,2
S,1
B,-2
S,-1
D,-1
A,1
G,2
A,1
S,-3
D,-1
M,-1
D,-1
B,2
S,3
B,-1
K,-1
A,-1
A,1
E,-1
S,-2
B,-1
P,-2
E,1
B,2
A,2
C,-1
F,-1
P,1
M,-1
P,1
B,-1
A,-1
F,1
S,1
B,-1
K,1
B,2
M,2
C,1
K,-1
F,-1
E,2
K,1
M,-1
C,-1
D,1
E,-2
J,-1
D,-1
M,-1
K,-1
S,-1
O,-1
C,1
S,-2
K,1
O,1
O,-1
M,1
B,-2
D,1
A,1
D,-1
O,1
E,-1
M,1
B,1
D,1
A,-1
D,1
E,1
A,1
A,-1
J,1
S,5
A,1
A,-1
I,-1
S,-2
G,-3
G,2
E,2
B,-1
A,1
I,-1
A,-1
S,1
H,1
D,1
H,1
S,-1
X,-1
C,-1
H,-2
N,-5
G,1
S,2
G,-1
D,-1
L,1
C,1
N,1
G,1
A,1
E,1
C,-1
N,1
A,-1
E,-1
S,-1
E,1
S,1
J,-1
N,-1
L,-1
O,-1
C,1
L,1
C,-1
N,-1
Q,-2
N,1
C,1
A,1
C,-1
A,-1
C,1
A,1
C,-1
C,1
O,1
C,-1
X,1
C,1
N,-1
S,-1
R,-1
C,-1
R,1
X,-1
R,-1
O,-1
C,1
O,2
C,-1
S,1
X,1
C,1
C,-1
Q,-1
L,1
J,1
N,1
A,-1
E,-1
S,-2
L,1
A,1
C,1
N,-1
Q,2
E,-1
C,-1
S,-2
G,-1
I,1
S,1
C,1
A,-1
E,-1
C,-1
L,-2
S,2
C,1
F,1
J,1
G,1
Q,-1
I,-1
Q,1
C,-1
J,-1
F,-1
E,3
C,1
I,1
B,1
S,1
E,-1
E,1
O,-1
N,1
R,1
I,1
R,-1
O,1
C,-1
J,1
A,1
B,-1
S,-1
A,-1
D,1
B,1
E,-1
X,6
