car,move
AQ,-1
AQ,1
O,1
AL,-1
AH,2
O,-1
AQ,-1
AA,-1
H,1
G,-1
L,1
AF,-1
AB,-1
K,1
AG,-1
AA,1
AE,-1
P,2
K,-1
AE,1
AB,1
AG,1
AA,-2
L,-1
AQ,1
G,1
AN,-1
G,-1
F,1
P,-1
AQ,-1
H,-1
AH,-2
AO,-1
AJ,-1
AP,-1
F,-1
J,2
AA,2
H,1
AB,-1
P,-1
J,-2
AC,-1
AP,1
AC,1
P,2
AL,1
AC,-1
N,-1
U,-1
AL,-1
U,1
AC,-1
U,-1
AO,1
H,-1
H,1
AP,-1
U,1
AM,-1
H,-1
N,1
AA,-2
H,1
AH,1
AC,2
F,1
AM,2
F,-1
H,-1
AH,1
AB,1
G,1
AD,1
AH,-1
AQ,1
AO,1
AQ,-1
P,-1
AH,1
AQ,1
G,-1
G,1
AO,-1
AH,-1
AA,2
AO,1
AG,1
L,1
AG,-1
AM,-1
AL,1
AB,-1
AG,1
K,1
AA,-2
AC,-3
K,-1
AL,-1
AB,1
G,-1
N,-1
AG,-1
AO,-1
L,-1
AB,-1
AQ,-1
AB,1
N,1
AB,-1
AA,1
AH,1
N,-1
M,1
AO,1
AA,-1
AH,-1
AK,-1
AQ,-1
L,1
H,1
AD,-1
AK,1
P,1
K,1
AL,1
AQ,2
P,-1
AO,-2
AK,-1
AE,-1
AR,-1
AB,1
K,-1
AE,1
M,-1
M,1
AE,-1
AR,1
H,-1
M,-1
AB,-1
AE,1
U,-1
H,1
AG,1
AO,1
L,-1
U,1
AC,1
M,1
H,-1
AG,-1
AR,-1
AG,1
L,1
M,-1
M,1
P,1
H,1
AL,-1
AP,1
AL,1
M,-1
L,-1
AE,-1
N,1
P,-1
AO,-1
AL,-1
N,-1
M,1
AO,1
L,1
L,-1
H,-1
M,-1
P,1
P,-1
AR,1
N,1
N,-1
M,1
AJ,1
AM,-1
L,1
AE,1
P,1
AH,-1
AC,1
K,1
K,-1
P,-1
AH,1
AN,1
AN,-1
AH,-1
AO,-1
AH,1
M,-1
AE,-1
AK,1
AJ,-1
N,1
AG,-1
AK,-1
AA,1
AP,-1
AQ,-1
AQ,1
AP,1
AQ,-1
AQ,1
N,-1
AA,1
U,-1
AK,1
K,1
AP,-1
P,1
AP,1
H,1
AO,1
AE,1
AA,-3
AM,1
AL,1
AQ,-1
AC,-2
AO,-1
P,-1
AH,-1
AC,3
H,-1
AQ,1
AB,1
AP,-1
AH,1
AP,1
AD,1
AO,1
AN,1
AB,-1
P,1
AN,-1
U,1
AG,1
N,1
AM,1
G,1
AL,1
AP,-1
AC,-2
AK,-1
P,-1
AC,-1
AC,1
AP,1
P,1
AA,2
H,1
K,-1
AC,-1
L,-1
AB,1
J,1
H,-1
AK,1
AJ,1
AG,-1
AK,-1
AB,-1
H,1
AA,-1
AB,1
P,-1
AD,-1
G,-1
AH,-1
AG,1
AJ,-1
AB,-1
H,-1
F,1
P,1
AA,1
AP,-1
H,1
AO,1
AB,1
H,-1
F,-1
AR,-1
AM,1
AR,1
J,-1
AB,-1
L,1
G,1
AC,2
K,1
AK,1
AM,-1
AH,1
AE,-1
AC,1
AB,1
G,-1
F,1
AA,-1
F,-1
P,-1
AA,1
AM,1
K,-1
P,1
N,-1
AM,-1
AO,-1
AA,1
AG,-1
AP,1
AG,1
U,-1
AG,-1
AQ,-1
K,1
AJ,1
AJ,-1
AE,1
H,1
AA,-3
AQ,1
AD,1
H,-1
U,1
AB,-1
M,1
AG,1
M,-1
AB,1
N,1
F,1
F,-1
AJ,1
AB,-1
AJ,-1
AL,-1
AA,4
N,-1
AA,-3
P,-1
AM,-1
M,1
AC,-3
AB,1
AB,-1
P,1
AL,-1
H,1
K,-1
M,-1
AD,-1
AA,1
AM,1
L,-1
AD,1
N,1
H,-1
N,-1
J,1
AD,-1
AK,-1
AG,-1
AQ,-1
AL,2
AL,-2
J,-1
AA,-1
M,1
AA,1
AD,1
M,-1
AM,-1
AK,1
AA,-1
J,1
AA,1
AB,1
AH,1
H,1
M,1
AM,1
AB,-1
AC,1
AJ,1
AQ,-1
P,-1
AA,1
P,1
M,-1
AQ,1
AC,1
AQ,1
AA,-2
AH,-1
AQ,-1
AJ,-1
AK,-1
AC,-2
AL,1
AQ,1
AJ,1
AD,-1
U,-1
AQ,-1
AA,1
AB,1
H,-1
AJ,-1
AK,1
AM,-1
J,-1
AD,1
AQ,-1
AL,-1
AB,-1
AN,1
AH,1
AP,-1
