car,move
I,-1
K,1
J,1
H,1
U,1
V,1
H,1
Q,1
M,-1
G,1
N,-1
M,2
I,1
N,1
U,-1
I,-1
H,-3
H,3
N,-1
Q,-1
Q,1
P,1
I,1
P,-1
Q,-1
O,-1
P,-1
H,1
G,-1
W,-1
D,1
W,1
U,1
V,-2
B,3
P,1
M,-1
K,1
Q,1
B,-2
U,1
W,-1
Q,-1
L,-1
A,1
O,-1
O,1
B,2
V,-1
S,1
Y,-1
M,1
K,2
G,-1
D,-1
A,1
K,-1
Q,1
A,-1
A,1
D,1
K,1
U,-1
B,-1
A,-1
P,-1
Q,-1
P,1
Q,1
G,1
Q,-1
B,-1
O,1
U,1
M,-2
X,1
U,-1
N,1
T,-1
G,1
U,1
N,-1
O,-1
C,-1
G,1
U,-1
O,-1
C,1
P,-1
A,-1
O,1
P,1
B,2
Y,1
C,-1
K,1
W,1
D,-1
J,-1
S,-1
C,1
V,3
V,-3
T,1
C,-1
N,-1
V,2
O,-1
X,6
