car,move
E,1
T,-4
K,-2
Q,-1
E,-1
S,-1
G,-1
S,1
Q,1
N,-1
Q,-1
S,-1
Q,1
Q,-1
M,1
G,-1
T,-2
Q,1
J,-1
G,-1
E,1
U,-2
M,-1
Q,-1
A,1
N,1
K,-2
U,1
N,-1
U,-1
N,1
A,1
S,-2
S,-1
S,2
J,-1
A,-2
J,2
N,-1
U,1
S,-2
A,1
J,-1
N,1
A,-1
A,1
S,1
U,1
G,-1
Q,-1
J,1
K,-1
L,1
G,1
N,-1
S,-1
M,1
K,1
U,-2
L,-1
M,-1
L,1
K,-1
K,1
O,-1
L,1
S,1
J,-1
A,1
K,-1
S,-1
K,1
L,-2
S,1
T,-1
G,-1
Q,2
O,1
J,1
G,1
K,1
U,2
S,3
M,1
T,1
A,-2
S,-2
K,1
J,-1
Q,-2
E,-1
Q,1
S,2
K,1
E,1
Q,1
M,-1
J,1
M,1
G,-1
K,1
Q,-1
G,1
J,-1
G,-1
U,-1
K,-1
U,1
M,-1
Q,1
Q,-1
E,-1
O,-1
G,1
Q,1
O,1
N,1
S,-1
Q,-1
K,-3
K,1
E,1
E,-1
Q,1
J,-1
K,-1
Q,-1
N,-1
K,1
O,-1
O,1
G,1
S,1
Q,1
U,-1
G,1
T,1
U,1
O,-1
Q,-1
T,-1
Q,1
G,-2
U,-1
G,2
J,1
K,2
S,-1
T,1
G,-1
O,1
J,1
T,1
K,-2
G,1
G,-1
T,-1
S,1
S,-1
S,-2
J,-1
U,1
Q,-2
J,1
G,1
T,-1
J,-1
L,1
S,1
G,-1
K,1
M,1
U,-2
T,1
G,1
L,1
G,-1
T,-1
M,-2
K,-1
N,1
T,1
V,-3
T,-1
K,1
V,1
N,-1
J,1
M,-1
V,2
V,-2
J,-1
V,2
N,1
T,1
G,1
J,1
T,-1
T,2
G,1
E,1
V,-2
T,-1
J,-1
T,-1
A,1
R,-2
T,1
K,-3
R,1
R,-1
S,-3
V,-1
T,-1
A,1
T,-1
S,3
R,1
M,1
R,1
T,2
S,-2
K,1
R,-1
M,-2
R,1
K,-1
A,-1
V,1
T,-1
J,1
R,-2
A,1
T,1
J,-1
M,2
R,2
A,-1
R,-2
R,1
S,1
M,-2
T,-1
V,-1
A,1
K,1
L,-2
T,-1
K,-1
V,1
L,1
T,2
R,-1
A,-1
V,-1
K,2
V,1
R,2
J,1
T,1
U,5
A,1
K,-1
S,-1
R,-2
T,-2
S,1
T,1
L,-1
R,-1
J,-1
V,-1
T,-1
U,-1
R,2
L,1
V,1
U,-3
L,-1
T,-1
K,1
U,2
R,-2
N,1
X,-1
U,-3
T,2
K,-1
U,3
V,-1
V,1
X,-1
S,-1
K,-1
U,-2
N,1
N,-1
N,1
A,-1
X,1
V,-1
K,1
T,-1
A,-1
E,-1
T,1
G,-2
V,1
U,1
N,-1
T,-1
U,1
U,-1
J,1
U,2
S,1
S,-1
J,-1
U,-4
J,1
J,-1
N,1
T,1
T,-1
J,1
U,1
J,-1
U,-1
U,1
G,2
T,1
V,-1
T,-1
S,1
U,1
S,-1
T,1
V,1
X,-1
H,2
T,-1
U,-1
H,-2
S,1
N,-1
U,5
E,1
N,1
X,2
K,1
A,1
X,-2
H,1
H,1
F,2
N,-1
H,-1
T,1
N,1
T,-1
K,-2
F,1
B,1
N,-1
K,1
A,2
F,-1
S,-1
N,1
S,1
K,-1
A,-1
N,-1
K,2
A,-1
F,1
C,1
B,-1
C,-1
H,1
B,1
G,1
C,1
U,-5
T,1
G,-1
H,-1
B,-1
A,-1
C,-1
N,1
B,1
H,-1
K,-1
T,-1
U,2
T,1
U,-1
K,1
E,-1
N,-1
E,1
T,-1
A,1
U,4
N,1
A,2
K,-1
H,2
I,-1
P,-1
T,1
P,1
K,-1
F,-1
I,1
K,2
F,1
I,-1
F,-1
T,-1
A,-1
I,1
G,1
F,1
A,-2
N,-1
C,1
E,-1
C,-1
C,1
U,-1
K,-1
T,1
U,-4
N,1
C,-1
F,-1
N,-1
G,-2
N,1
F,1
C,2
G,1
G,-2
K,1
D,-1
G,2
U,1
B,-1
G,-2
N,-1
T,-1
K,-1
N,1
D,1
G,-2
C,-1
E,1
N,-1
U,2
B,1
C,1
C,-1
I,-1
P,-1
E,-1
U,-4
W,-1
I,-4
W,1
B,1
W,-1
C,1
N,1
U,2
D,-2
U,-2
U,1
D,1
I,1
W,1
U,-1
W,-1
U,1
D,-2
C,-2
F,-1
U,1
H,-1
P,-3
U,-1
N,-1
U,3
H,1
H,-1
G,1
K,1
K,-1
H,1
W,1
S,-1
H,-1
O,1
H,4
U,-4
P,3
O,-1
P,-1
P,2
U,1
P,-3
W,-2
W,2
P,2
P,-1
W,-1
S,1
X,2
U,2
B,1
W,1
J,1
G,-1
N,1
W,-2
I,-1
J,-1
I,1
V,-1
P,-1
I,-1
U,-2
F,-1
W,-1
P,-1
W,1
U,1
V,1
U,-1
N,-1
F,1
J,1
J,-1
F,-2
J,1
U,3
F,2
X,1
