car,move
AF,-1
AB,-1
P,1
AF,1
G,-1
J,2
N,-1
N,1
G,1
AA,-1
AB,1
O,1
AJ,-1
AB,-1
AJ,1
O,-1
AF,-1
AQ,-1
J,1
AL,-1
H,1
AF,1
O,1
D,1
AQ,1
AJ,-1
A,-6
AM,-1
AJ,1
AC,-3
G,-1
AH,1
AM,1
AC,2
AJ,-1
AJ,1
AQ,-1
B,-1
G,1
J,-3
P,-1
AQ,1
AH,-1
J,3
G,-1
AM,-1
AC,1
AG,1
AM,1
J,-3
AH,2
A,1
H,-1
D,-1
AH,-1
AA,4
H,1
A,-1
F,3
AC,-1
E,1
AK,-1
AD,1
AR,-1
J,3
C,1
F,-2
AC,-2
L,1
AB,1
AA,-1
AD,-1
F,2
AH,-1
K,1
AL,1
A,1
AA,1
AL,-1
AG,-1
AM,-1
P,1
AM,1
F,-1
A,-2
AB,-1
F,1
AL,1
AG,1
AR,1
AL,-1
AC,1
K,-1
AC,1
AG,-1
P,-1
AQ,-1
P,1
K,1
AL,1
N,-1
AK,1
AK,-1
AL,-1
AC,-2
P,-1
AH,1
U,-1
AM,-1
A,2
K,-1
AB,1
C,-1
Q,-1
AM,1
AK,1
AB,-1
K,1
AH,1
E,1
Q,1
AQ,-1
P,1
AC,1
Q,-1
AD,1
R,-2
X,-2
AH,-1
A,-1
AK,-1
W,-1
AC,-1
AB,1
AR,-1
Y,-1
P,-1
AB,-1
X,1
Y,1
Q,1
AB,1
AM,-1
C,1
K,-1
Y,-1
U,1
R,1
A,1
P,1
AR,1
P,-1
AM,1
A,-1
AH,1
AR,-1
AD,-1
AB,-1
AD,1
AI,-3
U,1
N,1
F,-1
H,-1
K,1
N,1
C,-1
AI,2
AI,-2
AB,1
K,-1
Q,-1
AR,1
B,-1
AK,1
AI,2
AK,-1
L,-1
X,-1
H,1
AR,-1
AI,-1
A,1
X,1
L,1
Q,1
F,1
N,-1
N,1
AB,-1
B,1
F,-1
Q,-1
K,1
A,-1
F,1
G,1
AI,-1
B,-1
A,2
N,-1
AC,1
AC,-1
AD,-1
U,-1
P,1
Q,1
AR,1
AC,1
AI,1
AK,1
B,2
B,-1
AK,-1
AK,1
U,1
Q,-1
