car,move
E,1
T,-4
K,-2
A,1
S,-1
T,-1
K,-3
T,4
S,-1
S,1
T,1
A,1
J,-2
T,-2
T,2
E,1
K,1
E,-1
S,-1
K,-1
S,2
S,-2
K,2
K,-1
J,1
T,-2
S,-1
U,-2
J,1
S,2
K,-1
A,-1
J,-1
S,-2
J,1
S,-1
K,1
S,3
J,-1
A,-1
S,-1
Q,-2
K,1
L,2
A,2
S,-1
K,-1
M,-1
M,1
S,1
J,-1
A,-1
M,-1
V,-1
A,-1
E,2
K,1
V,-1
F,-3
B,1
R,-2
B,-1
K,-1
F,1
B,1
B,-1
B,1
A,1
V,-1
R,2
B,-1
R,-2
M,1
B,1
K,-1
M,-1
R,1
K,2
F,-1
E,-2
V,1
J,1
S,-1
V,-1
A,2
V,1
V,-1
R,1
A,-1
R,-1
M,1
L,-2
L,2
M,-1
K,-2
A,-1
A,2
M,1
R,1
R,-2
L,-2
R,-1
N,2
N,-1
X,-1
X,1
A,-2
N,1
K,1
A,-1
S,-1
S,2
K,1
N,-1
U,6
N,1
X,-1
B,-1
B,1
N,-1
S,-1
B,-1
U,-1
K,-1
E,-1
S,-1
B,1
B,-1
G,-3
G,2
G,-1
S,1
K,1
V,-2
B,2
G,-1
G,1
U,-1
S,1
X,-1
H,2
H,-2
K,-1
B,-1
S,-2
X,2
B,-1
G,-1
U,-2
X,-2
B,2
E,1
U,2
E,-1
H,2
V,-1
I,-1
P,-2
S,1
C,1
E,1
C,-1
E,-1
B,-1
S,1
S,-1
O,1
V,-1
B,1
V,2
S,-1
C,1
S,2
H,3
O,-1
G,-1
S,-1
U,-4
P,1
V,-1
G,1
X,2
V,3
W,-1
E,1
W,1
U,4
S,-1
E,-1
O,1
B,-2
S,1
H,-2
X,-1
V,-2
B,2
G,1
K,1
B,-1
S,1
I,-1
G,-1
V,1
S,-1
H,2
P,-1
B,-1
P,1
E,1
V,-3
B,1
S,1
I,1
E,-1
J,1
E,1
C,-1
I,-1
K,1
B,-1
O,-1
T,-1
F,-1
P,1
F,1
B,1
E,-1
I,1
C,1
P,-1
V,1
E,1
O,1
V,1
B,1
K,-1
A,4
H,-2
A,-2
U,-2
P,-1
K,1
U,-1
B,-1
U,2
K,-3
H,2
T,1
C,-1
P,1
C,1
H,-2
I,-1
G,-1
N,1
I,1
C,-1
X,1
T,-1
I,-1
H,1
N,-2
A,-1
I,1
G,1
F,-1
N,-1
H,-1
C,1
F,1
V,-1
T,1
J,-2
N,2
K,2
U,-2
V,2
K,-1
J,1
B,2
S,-1
A,2
K,-1
V,-2
F,-1
F,1
B,-1
V,1
A,2
K,1
V,2
X,-1
E,-1
U,-1
H,2
G,2
X,1
P,-1
S,-1
B,-1
K,-1
F,-1
F,1
U,3
G,-2
K,1
P,1
H,-2
U,1
I,-1
K,-1
A,1
P,-1
K,1
B,-1
P,1
S,2
K,1
V,-4
B,1
U,-1
A,-1
H,2
H,-1
P,-1
H,-1
G,2
U,1
A,1
G,-2
B,-1
N,-1
J,-1
H,1
P,1
J,2
G,1
V,2
V,-1
J,-2
N,1
V,1
B,1
G,-1
X,-1
P,-1
V,-2
H,1
G,1
I,-1
K,-1
A,-1
O,-1
U,-3
C,1
D,-1
N,1
P,1
O,1
N,-1
U,1
H,-1
U,4
X,-1
H,-2
X,-1
D,1
H,2
C,1
P,-1
A,1
G,-2
V,1
P,1
B,-1
C,1
I,2
K,-1
D,-1
E,1
U,-4
I,-1
X,1
U,1
B,1
A,-5
B,-1
P,-3
I,2
G,1
J,1
G,-1
S,-1
A,1
V,1
K,1
A,-2
U,1
C,-2
H,-1
E,-1
U,-2
V,-1
V,-1
S,1
X,1
H,1
X,-1
E,1
H,1
N,1
O,-1
O,1
C,1
H,-2
E,-1
C,-1
B,2
E,1
G,1
J,-1
U,-2
A,1
H,1
V,2
U,3
J,1
K,2
U,-3
H,1
D,-2
A,3
E,-1
H,-1
N,-1
D,1
A,1
X,3
