car,move
E,1
B,2
B,-1
E,-1
A,-1
G,-1
K,-1
A,2
B,-1
A,-1
M,2
M,-1
A,1
A,-1
K,1
E,1
M,1
G,1
E,-1
E,1
B,2
M,-2
G,-1
A,-1
G,1
A,2
K,-1
G,-1
B,-2
K,1
G,1
M,1
M,1
K,-1
M,-2
E,-1
G,-1
A,-1
G,1
B,1
K,1
K,-1
G,-1
A,1
A,-2
G,1
F,-1
G,-3
K,1
D,2
C,-2
M,2
H,-1
P,-1
H,-1
M,-2
H,1
M,1
K,-1
M,-1
M,1
H,-1
K,1
P,1
M,-1
H,1
M,2
S,-2
T,-1
T,1
P,-1
T,-1
C,1
M,-1
U,-1
M,1
U,1
S,1
M,-1
U,-1
K,-1
H,-1
K,1
C,-1
U,1
H,1
S,-1
H,-1
S,1
C,1
M,1
U,-1
C,-1
H,1
U,1
M,-1
S,-2
H,-1
C,1
U,-1
H,1
P,1
M,-1
C,-1
P,-1
C,1
M,1
S,1
C,-1
M,1
M,-1
C,1
M,1
M,-1
S,-1
H,-1
C,-1
H,1
P,2
C,1
M,1
H,1
H,1
H,-2
C,-1
P,-2
U,1
P,1
P,-1
H,-1
U,-1
H,1
H,-1
H,1
P,2
S,2
P,-2
P,2
P,-1
C,1
K,-1
C,-1
K,1
S,-2
P,1
S,1
C,1
C,-1
P,-2
P,2
S,1
C,1
S,-1
K,1
D,3
H,1
G,2
F,1
C,-1
F,-1
H,-1
H,-1
H,2
S,1
C,1
J,-1
H,-1
O,-1
H,1
C,1
S,-1
S,-1
G,1
C,-2
D,-1
D,1
E,1
B,1
G,-1
S,2
C,1
B,-1
B,1
S,-1
O,1
G,1
J,1
G,-2
C,-1
C,1
G,2
F,1
F,-1
F,1
S,1
C,-1
F,-1
B,-1
I,-1
I,1
B,1
E,2
H,-2
G,1
E,1
D,-1
D,1
D,-1
C,1
F,1
F,-1
C,-1
D,1
J,-1
D,-1
O,-1
B,-1
D,1
S,-1
S,-1
O,1
C,1
D,-1
B,1
B,-1
D,1
B,1
S,2
S,-1
D,-1
D,1
S,1
O,-1
D,-1
C,-1
D,1
B,-1
D,-1
O,1
C,1
I,-1
D,1
I,1
S,-1
B,1
O,-1
D,-1
S,-1
B,-1
D,1
I,-1
O,1
J,1
F,1
A,5
B,-1
D,-1
S,1
C,-1
F,-1
C,1
S,-1
B,1
E,-2
A,-1
G,-1
H,2
B,-1
A,1
E,1
S,1
I,-1
X,-1
D,1
A,1
D,-1
X,1
H,-1
X,-1
E,-2
E,2
N,-2
L,1
A,-1
D,1
H,1
Q,-1
N,-3
D,-1
R,-1
S,-1
X,1
N,1
D,1
S,1
N,-1
S,-1
D,-1
X,-1
O,1
D,1
O,-1
S,1
E,-1
X,1
S,1
I,1
R,1
I,1
S,-4
R,-1
E,-1
F,1
E,-1
T,-1
B,1
B,-1
D,-1
C,1
S,1
T,1
N,1
T,-1
S,-3
C,-1
A,1
G,-1
B,1
C,1
C,-1
U,-1
N,-1
C,1
S,1
S,-1
U,1
C,-1
F,-1
J,-1
D,1
E,1
I,-1
C,1
S,1
B,-1
Q,-1
S,-1
O,-1
T,1
I,-1
I,1
T,-1
Q,1
I,-1
S,1
Q,-1
T,1
C,-1
Q,-1
L,-1
G,1
C,1
C,-1
H,-1
L,1
O,1
T,-1
G,-1
H,1
U,-1
C,1
D,-1
J,1
Q,2
U,1
C,-1
T,1
C,1
J,-1
D,1
D,-1
G,1
O,-1
Q,-1
S,3
G,-1
O,2
S,2
L,1
D,1
J,1
D,-1
E,1
C,-1
X,-1
Q,1
A,-1
L,-1
Q,-1
L,1
H,-2
Q,1
L,-1
G,1
J,1
Q,-1
C,-1
D,1
E,-1
X,1
E,2
X,3
S,-1
I,1
H,2
I,-1
A,1
E,-1
G,-1
I,1
B,1
C,1
H,-1
E,-1
X,1
C,-1
E,1
H,1
E,-1
G,1
A,-2
B,-1
G,-1
H,-1
I,-1
C,1
F,1
C,-1
I,1
H,-1
G,2
B,1
Q,1
F,-1
E,2
E,-2
X,-1
C,1
B,-1
F,2
A,-1
C,-1
F,-1
I,1
S,1
A,1
X,3
