car,move
K,-3
G,-1
T,-3
S,-1
T,3
K,2
T,-1
T,1
G,-1
S,1
T,-5
G,2
Q,-1
T,1
T,2
J,-1
G,-4
U,-1
U,1
K,1
Q,1
K,-1
T,2
T,-2
K,1
G,1
U,-1
K,-1
N,-1
U,1
M,1
G,1
U,-1
K,1
G,-1
J,-1
T,1
G,2
T,-1
U,1
U,-1
T,1
T,-1
U,1
U,-1
M,-1
T,1
J,2
T,-3
G,-1
T,1
K,-4
Q,-1
N,1
G,-2
G,2
T,-1
Q,1
U,1
T,3
N,-1
U,-1
T,-4
J,-1
N,1
K,4
U,1
U,-1
J,-1
Q,-1
J,1
J,1
U,1
T,1
T,-2
U,-1
G,1
J,-2
N,-1
M,1
U,1
J,1
Q,1
G,-1
M,-1
J,-1
O,-1
U,-1
Q,-1
G,-2
J,2
E,1
U,1
O,1
G,1
G,-1
K,-1
G,1
N,1
J,-1
E,-1
Q,1
G,-1
G,4
U,-1
G,-1
K,-3
Q,-1
K,2
S,-1
S,-1
U,-1
K,-1
U,1
U,-1
K,-1
N,-1
J,-1
Q,1
S,1
G,-3
S,-1
Q,-2
G,1
L,1
M,1
L,1
E,4
L,-1
K,1
U,2
L,-1
L,1
K,-1
F,-2
G,-1
B,1
A,2
E,1
K,-1
A,1
T,-1
F,-1
A,-1
A,1
E,-3
L,-1
U,-2
K,1
G,1
K,1
L,2
E,-1
J,1
J,1
A,-1
M,-1
O,-1
B,-1
J,-1
B,1
A,1
S,-1
K,-1
M,-1
K,-1
A,-1
B,-1
N,-1
M,-2
K,1
J,1
S,-1
L,-1
U,1
V,-2
S,1
J,-1
V,-1
R,-2
R,2
K,-1
K,2
O,-2
N,1
U,-1
L,1
R,-1
K,-1
M,1
S,-1
R,1
N,-1
R,-1
O,2
N,1
O,-2
S,1
G,-1
B,1
B,-1
G,1
R,-1
B,1
A,1
K,1
K,-1
V,-2
J,1
K,-1
S,-1
J,-1
M,-1
N,1
F,-1
L,-2
S,1
R,-1
A,-1
B,-1
J,1
S,-1
S,1
G,-1
N,-1
V,-1
O,1
B,1
U,2
A,1
F,1
U,-2
F,-1
F,1
V,1
K,1
A,-1
J,-1
J,1
G,1
J,-1
K,1
O,2
N,2
K,-1
S,-1
U,2
X,-2
K,-1
H,2
A,1
I,-1
A,-1
P,-1
I,-1
U,-1
K,1
S,1
P,-1
I,1
G,-1
U,2
G,1
N,1
W,-1
V,-1
K,1
C,1
U,-1
N,-1
I,-2
B,-1
U,5
K,-2
U,-1
C,1
D,-1
B,1
S,-1
U,-5
D,1
P,1
C,-2
K,1
N,1
I,2
S,1
N,-1
P,-1
U,5
B,-1
I,-2
N,1
U,1
I,2
K,1
P,1
B,2
K,-1
N,-1
N,1
A,1
S,-1
U,-1
K,-1
C,1
U,1
S,-1
C,-1
P,-1
B,-1
W,-1
J,-1
X,-1
N,-3
N,1
W,1
A,-1
P,1
C,1
A,1
V,1
C,-1
U,-6
P,-1
N,2
X,1
V,-1
A,-1
U,1
W,1
O,1
I,-1
P,1
U,1
I,1
N,-1
E,1
B,-1
I,-1
N,1
U,-3
P,-1
B,1
P,1
V,1
V,-1
U,1
C,1
I,1
B,-1
C,-1
B,2
B,-1
N,-1
O,-1
A,1
E,2
O,1
V,1
B,1
H,2
P,-1
V,-1
A,-1
F,1
X,2
G,1
A,1
N,1
B,-1
U,2
B,3
U,-3
I,-2
G,-1
T,1
U,3
A,-1
P,1
T,-1
E,-1
I,2
C,1
E,1
F,-1
V,1
A,4
H,-1
H,1
B,-2
U,-3
G,1
B,-1
I,-1
V,1
B,-1
H,-1
B,1
U,2
F,1
F,1
H,2
N,-2
T,1
O,-1
R,1
A,-5
L,1
L,-1
F,-1
Q,1
U,1
B,-1
G,-1
O,1
I,1
F,1
E,-1
A,1
P,-1
U,-2
P,1
F,1
I,-1
P,-1
T,-1
F,-3
P,1
P,-1
U,1
U,-2
V,1
Q,-1
H,-2
I,-1
C,1
U,4
V,1
B,1
B,-1
Q,1
C,-1
C,-1
R,1
Q,-1
F,4
R,-1
T,1
F,-2
C,1
Q,1
P,1
R,1
T,-1
E,3
J,1
I,-1
C,-1
T,1
A,-1
A,1
Q,-1
P,-1
E,-1
I,1
E,1
Q,1
G,1
S,1
S,1
U,2
J,1
U,-2
J,-1
E,-1
U,1
T,-1
J,1
F,1
T,2
C,2
E,1
J,-1
S,-2
V,-1
R,1
J,-1
R,-1
P,1
Q,-1
P,-1
Q,1
J,1
D,-1
F,-2
S,1
U,1
E,-1
U,-6
T,-2
E,1
Q,-1
K,1
S,1
D,1
G,-1
Q,1
D,-1
R,1
P,-1
F,1
T,1
X,1
