car,move
J,-1
K,-4
T,-2
E,1
S,-2
U,-1
J,1
A,2
Q,-2
J,-1
Q,2
K,1
J,1
A,-2
K,1
Q,-2
E,-1
Q,2
K,-2
U,-1
Q,-2
T,-3
L,2
T,3
T,-3
M,-1
J,-2
J,2
E,1
S,-2
S,2
E,-1
S,-1
M,1
S,1
T,3
M,-1
S,-2
V,-1
E,1
A,1
J,-1
S,1
V,-2
V,2
A,-1
J,1
E,-1
T,-4
E,1
K,1
M,-2
K,-1
V,-1
K,1
V,2
J,-1
A,2
L,-1
A,-1
V,-2
J,1
T,1
J,-1
A,-1
R,-2
J,1
A,1
A,-1
L,1
L,-2
Q,1
J,-1
A,2
A,-1
U,4
A,1
Q,-1
K,-2
A,-1
S,-2
U,-3
T,-1
A,1
R,1
A,-1
V,-1
J,-1
V,1
R,-2
N,1
X,-3
T,1
U,1
H,1
T,-1
T,1
N,-1
U,4
C,1
A,1
N,1
U,-3
X,1
C,-1
T,-1
J,1
H,1
G,1
S,2
N,1
A,-1
T,1
F,1
A,1
F,2
N,-1
K,1
S,-1
K,-1
U,-3
A,-1
K,1
C,1
U,2
U,4
K,-1
C,-1
C,1
A,1
C,-1
G,-1
T,-1
S,-1
T,1
G,1
J,-1
N,1
B,1
J,1
A,1
J,-1
N,-1
J,1
F,-1
T,-1
F,1
N,1
J,-1
N,-1
T,1
C,1
X,-1
U,-2
G,-1
T,-1
C,1
A,2
N,-1
E,-1
N,1
G,-1
A,1
D,-1
T,-1
A,-1
T,2
G,1
X,1
D,1
A,1
E,2
T,-2
C,-1
B,-1
G,1
E,-1
B,1
T,1
G,-1
H,-1
A,-1
J,1
A,1
S,2
U,-3
K,1
H,1
E,-1
A,-2
K,1
E,1
N,1
I,-1
K,-2
I,1
U,-1
I,-1
P,-1
A,-1
C,-1
N,-1
O,1
F,-1
N,1
T,1
N,-1
P,-1
N,1
A,-2
H,3
T,-1
O,-1
S,-1
A,1
W,-2
N,-1
N,1
W,2
A,1
K,1
S,1
P,1
W,-1
K,-1
F,1
C,1
A,2
T,1
S,-2
X,2
J,-1
E,-1
U,2
U,-2
V,-1
X,-1
J,1
J,-1
J,1
X,1
S,1
E,1
W,1
X,-1
K,1
T,-2
A,-2
X,1
T,2
S,1
N,-2
K,1
C,-1
F,-1
R,1
O,1
U,3
L,1
F,1
V,1
C,1
J,1
O,-1
W,-1
T,-1
J,-1
V,-1
L,-1
R,-1
N,2
X,-1
T,1
N,-1
K,-1
S,-1
V,1
N,1
A,-1
C,-1
K,-1
T,-1
A,1
A,-2
S,1
V,-1
N,-1
F,-1
A,1
V,1
B,-1
F,-2
K,2
V,-1
N,1
W,1
K,-2
W,-1
S,-1
U,-3
A,-1
S,-1
P,-1
F,1
J,-1
J,1
A,1
J,-1
N,-1
T,1
U,1
T,-1
E,2
F,-3
W,-1
N,1
U,2
N,-1
X,1
A,-1
X,-1
U,-2
U,1
C,1
N,1
C,-1
W,2
X,1
U,-1
F,2
X,-1
N,-1
E,-1
W,-1
E,1
V,1
W,1
V,-1
P,1
F,1
A,1
W,-1
V,1
X,-1
P,-1
U,1
E,-1
N,1
A,-1
N,-1
F,1
N,1
B,1
P,1
N,-1
E,1
T,1
P,-1
E,-2
U,1
A,1
T,-2
E,2
A,1
A,-1
E,1
T,2
B,-1
T,-2
G,-2
F,-3
W,-1
W,2
O,1
N,1
X,2
C,1
F,-2
N,-4
C,-1
F,1
N,2
R,1
B,1
U,1
A,1
R,-1
B,1
P,1
C,1
U,-1
F,-1
R,1
U,-2
L,1
L,-1
O,-1
Q,1
B,-1
A,-1
N,-1
Q,-1
V,-2
F,2
L,1
A,3
G,-1
L,-1
G,1
T,2
U,1
N,1
W,-1
T,-2
G,-1
T,1
I,-1
F,-1
E,-1
I,1
R,-1
F,1
E,1
U,1
F,-1
V,-3
P,-1
W,1
V,4
F,1
G,3
N,1
G,-3
A,1
V,1
I,-1
F,-1
N,1
B,-1
B,1
B,-1
G,1
I,-1
N,-2
I,1
P,1
P,-1
W,-2
U,-2
N,2
U,-1
T,1
B,1
X,-1
I,1
U,2
I,-2
C,1
B,-1
B,1
D,-1
X,-1
N,-1
X,2
N,-1
R,1
A,-3
U,2
A,-2
P,-2
X,1
