car,move
T,-1
M,1
G,1
I,-1
W,-1
H,-1
H,1
C,-1
T,1
C,1
Q,1
U,1
K,1
J,1
W,1
K,-1
J,-1
G,-1
G,1
I,1
K,1
V,1
I,-1
W,-1
W,1
V,-2
U,1
J,1
C,-1
W,-1
M,-1
Y,-1
H,2
I,1
N,-2
H,1
J,-1
U,-2
M,1
N,2
N,-1
M,-1
O,-3
Y,1
J,2
O,1
D,1
J,-1
D,-1
J,-1
V,1
O,-1
P,-3
V,-1
V,2
U,1
M,-1
N,-1
X,3
G,1
W,1
V,-2
M,1
K,1
U,1
U,-1
G,-1
O,-1
U,-1
P,-1
U,2
M,-1
K,-1
Z,-1
G,1
M,1
U,-1
Z,1
V,1
G,-1
U,-1
K,1
G,1
L,-1
P,1
P,-1
P,1
O,1
U,1
W,-1
M,-1
Y,-1
M,1
V,-2
S,1
K,3
M,-1
U,1
X,-1
P,1
O,1
K,-1
Q,-2
X,3
M,1
U,-1
N,1
M,-1
N,-1
Q,1
K,1
N,1
J,1
N,-1
S,-1
J,-1
P,2
M,1
V,3
M,-1
Y,1
L,1
O,1
V,-1
M,2
P,-1
G,-1
T,-1
J,1
M,-2
J,-1
Q,-3
N,1
Y,-1
O,-1
C,1
O,-1
Y,1
L,-1
W,1
J,1
R,-1
X,2
