car,move
AJ,-1
G,-1
AP,-1
H,1
N,-1
U,-1
H,-1
AA,-1
P,1
AA,-1
AO,1
J,3
O,1
AH,1
D,1
U,1
A,-1
AG,1
AA,3
N,1
AO,-1
J,-1
AH,-1
AL,-1
AH,1
AB,-1
AD,1
AH,1
P,-1
AA,-2
AI,-3
AA,2
AI,3
AO,1
A,1
H,1
N,-1
H,-1
M,1
D,-1
J,-2
AB,1
D,1
AD,-1
AH,-2
H,1
P,1
M,-1
AH,2
M,1
AA,-3
AD,1
H,-1
A,-1
P,1
A,1
AI,-3
AO,-1
H,1
J,1
P,-1
D,-1
H,-2
AP,1
AG,-1
AB,-1
J,1
AC,-1
AP,-1
AQ,-1
AO,2
AA,1
AK,-1
AA,-1
AI,1
AK,1
AD,-1
AO,-2
AO,1
AQ,1
M,-1
AG,1
AD,1
AD,-1
M,1
AC,-1
H,2
AI,-1
AE,-1
AI,1
M,-1
N,1
AG,-1
D,1
J,1
A,-1
H,-1
AE,1
AA,2
AC,1
AO,-1
AK,-1
AD,1
H,1
P,-1
AC,-1
J,-1
AQ,-1
AP,1
AJ,1
AI,1
AJ,-1
AD,-1
A,1
F,1
AI,1
AI,-3
D,-1
AD,1
AQ,-1
D,1
F,-1
AA,-1
F,1
AK,1
A,-1
B,-1
H,-1
J,-2
P,2
J,-1
P,-2
E,1
E,-1
J,1
E,1
H,1
C,1
J,1
AK,-1
AA,1
AP,-1
H,-1
AO,1
C,-1
AI,2
P,1
C,1
B,1
AK,1
AA,-2
AQ,2
P,1
AG,1
H,1
AK,-1
AO,-1
J,-1
B,-1
J,1
AP,1
AA,3
J,-2
J,2
AI,1
AD,-1
J,-2
J,1
J,-1
AD,1
AP,-1
AO,1
L,1
J,1
AD,-1
C,-1
AI,-1
J,-1
K,1
Q,-1
AE,-1
H,-1
AC,1
AO,-1
AR,-1
P,-2
K,-1
AC,-1
AR,1
AO,1
AK,1
Q,1
C,1
H,1
AO,-1
AA,-2
AI,-2
P,2
AE,1
AK,-1
L,-1
AO,1
AG,-1
AA,-1
AR,-1
AQ,-2
AO,1
AQ,1
AE,-1
AI,1
AC,-1
AE,1
AA,1
C,-1
AO,-2
L,1
J,1
K,1
Q,-1
AP,1
H,-1
AA,-2
AI,-1
AE,-1
AQ,-1
AP,-1
AO,2
Q,1
AC,1
H,1
P,-1
AA,-2
AE,1
AD,1
AI,1
AA,5
Q,-1
AA,-2
AQ,1
H,-1
AI,-1
B,1
AO,-2
Q,1
AC,-1
Q,-1
AQ,-1
AC,1
AO,2
AI,2
AI,1
AD,-1
AR,1
Q,1
B,-1
AE,-1
AC,-1
AQ,1
AB,1
AB,-1
P,1
K,-1
AO,-1
L,-1
H,1
B,1
AO,-1
AO,2
AI,-2
AE,1
AK,1
H,-1
AO,-2
AB,1
AQ,1
AK,-1
P,-1
E,-1
AG,1
AE,-1
AE,1
AP,1
H,1
AI,-1
H,-1
L,1
AR,-1
AA,1
L,-1
AA,-1
AP,-1
L,1
AD,1
AO,1
P,1
AI,1
L,-1
J,1
AA,1
F,-1
F,1
AI,-1
P,-2
AR,1
F,-1
G,1
G,-1
A,1
AG,-1
AR,-1
H,1
AO,-1
AR,1
D,-1
AK,1
H,-3
AO,1
AQ,-1
AO,-1
AQ,1
AB,-1
J,1
P,1
AP,1
AP,-1
AO,1
AI,2
AI,1
AB,1
AG,1
AB,-1
AH,-1
AL,1
J,-1
AG,-1
AK,-1
H,3
AB,1
G,1
O,-1
AO,-1
J,2
P,-1
AQ,-1
H,-1
G,-1
F,1
H,1
AO,2
AR,-1
F,-1
AO,-1
AB,-1
AD,-1
AC,2
AE,-1
AC,-2
N,-1
AC,2
M,1
P,1
AL,-1
AE,1
AO,1
O,1
AR,1
AH,-1
M,-1
P,-1
N,1
N,-1
AO,-1
O,-1
AC,-1
AR,-1
U,-1
AC,1
J,-3
AH,1
U,1
AO,1
AH,-1
H,-1
AO,-2
AL,1
AH,1
M,1
O,1
AR,1
AP,1
AQ,1
D,1
AA,1
M,-1
D,-1
AR,-1
AJ,1
P,1
H,-1
H,1
N,1
L,1
AJ,-1
P,1
O,-1
P,-2
AR,1
H,1
AK,1
K,1
AF,-1
G,1
AE,1
W,1
P,1
P,-1
AA,-1
AC,-1
G,-1
P,1
AP,-1
G,1
AQ,-2
G,-1
AH,-1
K,-1
AP,1
AQ,2
N,-1
AP,-1
K,1
P,-1
AC,1
N,1
G,1
S,1
Q,1
G,-1
F,1
AL,-1
P,1
AQ,-1
H,-1
AC,-1
AM,-1
F,-1
N,-1
P,1
Q,-1
AA,1
Q,1
AC,1
AM,1
AM,-1
AM,1
U,-1
AP,1
AH,2
U,1
AP,-1
N,1
H,1
AK,-1
G,1
AD,1
P,-1
AI,-2
AP,1
AP,-1
AR,-1
AA,-4
AC,-2
AC,2
AD,-1
Q,-1
AC,-2
AI,2
AO,1
AR,1
AK,1
AB,1
Q,1
AK,-1
AA,3
K,-1
AK,1
AH,-1
AH,1
Q,-1
AB,-1
S,-1
AC,1
G,-1
AO,1
G,1
W,-1
AO,-2
AD,2
AC,2
G,-1
AI,-1
AB,1
AQ,1
K,1
H,-1
G,1
AP,1
AB,-1
G,-1
P,1
AB,1
P,-1
AP,-1
AI,1
P,1
N,-1
M,1
AI,-3
AO,1
AA,1
AI,1
P,-2
AI,-1
AD,-1
K,-1
L,-1
M,-1
W,3
N,1
J,2
AA,-1
W,-1
G,1
AG,1
P,1
AA,-1
AD,-1
Y,-1
AE,1
AO,-1
W,1
AE,-1
AG,-1
Y,1
AB,-1
J,-2
S,1
J,3
Q,1
AP,1
AP,-1
AC,-1
AP,1
V,1
AP,-1
V,-1
AC,-1
AP,1
AQ,-2
AJ,1
AQ,2
G,-1
J,-2
AQ,-1
AD,1
AK,-1
J,1
AE,-1
J,-2
G,1
P,1
AG,-1
AR,-1
AC,-1
V,1
AC,2
Q,-1
J,1
S,-1
AD,-1
AD,1
J,-1
L,1
AR,1
AD,-1
AC,-2
AA,1
V,-1
H,1
K,1
V,1
K,-1
AE,-1
G,-1
AQ,1
V,-1
G,1
AC,1
AQ,-1
AK,1
G,-1
K,1
V,1
F,1
AE,1
AA,1
