car,move
AG,1
G,-1
O,1
D,1
A,-1
AG,-1
AG,1
B,-1
AJ,-1
AB,-1
G,1
AH,1
AE,-1
A,-3
B,-2
AE,1
AD,1
D,-1
J,2
AP,-1
AL,-1
P,1
AB,1
AB,-1
AH,1
H,-1
AH,-1
AL,1
H,1
AL,-1
AO,1
H,-1
AC,-1
AD,-1
AG,-1
AD,1
AK,-1
AO,-1
AK,1
AH,1
AI,-1
AI,-2
AA,-1
AP,1
A,-1
AA,-1
AP,-1
B,2
AO,1
AI,3
A,1
AD,-1
AC,-1
AE,-1
A,-1
AO,-1
AO,1
AO,-1
AC,1
AQ,-1
A,1
H,2
D,1
B,-2
AI,-1
AA,2
I,-1
AQ,1
AG,1
AC,-1
I,1
D,-1
AG,-1
D,1
J,-2
AQ,-1
D,-1
B,2
AK,-1
O,-1
AC,1
AA,-1
L,1
O,1
P,1
AK,1
AK,-1
L,-1
AA,-1
AK,1
A,-2
AP,1
G,-1
AE,1
F,1
AD,1
H,-1
A,1
O,-1
AP,-1
AO,2
AA,2
AI,-2
AF,-1
AE,1
P,-1
AC,-1
AA,-1
E,1
E,-1
E,1
A,-1
H,1
P,1
AD,1
A,1
AI,1
A,-1
AA,1
J,-1
C,1
AA,-1
A,-1
AO,-1
AD,-1
AA,-1
J,2
AO,-1
P,-1
AQ,1
AK,-1
A,2
H,-1
W,1
AI,-1
H,1
P,1
AC,-1
AR,-1
AI,2
AB,1
B,-1
P,-1
I,-1
C,-1
E,-1
A,-1
AR,1
AA,1
AI,-2
H,-1
A,1
F,-1
H,1
W,1
I,1
W,1
F,1
AR,-1
AP,1
AQ,-1
AP,-1
B,-1
AP,1
AE,-1
H,-1
I,-1
AR,1
P,1
A,-1
AK,1
AF,1
AJ,1
Y,-1
O,1
AK,-1
F,1
P,-2
S,1
B,1
AR,-1
B,-1
E,1
E,1
H,1
Y,1
AD,-1
H,1
A,1
AE,-1
AR,1
P,2
AQ,1
J,-2
J,1
AR,-1
AE,1
F,2
AB,-1
O,-1
S,-1
R,-3
AB,1
AE,-1
AJ,-1
AP,-1
B,1
AG,1
O,1
D,1
AE,1
