car,move
G,-1
G,1
M,2
E,1
I,-1
A,1
G,-1
S,-1
I,-1
I,2
T,-1
A,-1
A,1
B,1
B,1
T,1
A,-2
M,-1
K,-1
G,1
B,-1
M,1
B,1
F,-1
G,-2
G,1
B,-1
F,1
G,1
K,1
M,-1
T,-1
K,-1
B,1
A,2
K,1
G,-1
U,-1
A,-1
A,1
P,1
K,-1
B,-2
P,-1
K,1
G,1
K,-1
P,1
E,-1
P,-1
A,-1
U,1
B,1
U,-1
P,1
K,2
M,1
B,-1
K,-2
K,1
E,1
G,-1
S,-1
B,2
M,-1
P,-1
U,1
G,1
U,-1
P,1
B,-2
P,-1
I,-2
U,1
T,1
S,-1
R,1
X,-1
M,1
N,-1
S,2
N,1
X,1
G,-1
X,-1
K,-1
N,-1
R,-1
M,-1
N,1
M,1
A,1
R,1
A,-1
N,-1
R,-1
T,-1
M,-1
U,-1
A,1
G,1
G,-1
G,1
A,-1
N,1
A,1
K,1
P,1
A,-1
K,-1
A,1
K,2
M,1
K,-2
G,-1
N,-1
N,1
M,-1
G,1
N,-1
P,-1
N,1
N,-1
P,1
G,-1
M,1
M,-1
M,1
G,1
G,-1
N,1
A,-1
A,1
P,-1
A,-1
U,1
T,1
M,-1
G,1
R,1
A,1
R,-1
X,1
K,1
I,2
T,-1
B,1
E,-1
M,1
E,1
S,-1
I,-1
B,-1
S,-4
U,-1
K,-1
P,1
I,-1
H,1
S,2
H,-1
P,-1
K,1
X,-1
P,1
X,1
K,-1
H,1
M,-2
K,1
M,2
M,-1
H,-1
I,2
H,1
E,-1
M,-1
B,1
K,-1
B,-1
B,1
M,1
B,-1
M,1
M,-2
B,1
H,-1
H,1
S,-2
A,-2
G,-1
H,-1
S,-1
M,2
M,-1
P,-1
F,-1
S,1
G,-1
E,1
P,1
M,-1
H,1
B,1
B,-1
H,-1
P,-1
B,1
U,1
M,2
S,-1
T,1
S,1
R,1
K,1
M,-2
M,1
B,-1
E,-1
K,-1
G,-1
R,-1
K,1
R,1
D,1
M,1
R,-1
D,1
M,-2
D,-1
T,-1
U,-1
P,1
K,1
M,2
D,4
G,3
E,2
G,-1
C,-1
I,-1
I,1
G,1
I,-1
I,1
G,-1
D,-1
D,1
C,1
S,-1
C,-1
B,1
G,1
D,-1
G,-1
C,1
B,-1
I,-1
I,1
I,-1
D,1
D,-1
E,-1
C,-1
C,1
D,1
J,-1
J,1
F,1
A,1
D,-1
I,1
B,-1
I,-1
C,-1
I,-1
G,1
G,-1
I,1
G,1
I,1
C,1
D,1
C,-1
C,1
D,-1
I,-2
S,4
S,2
S,-6
G,-1
I,2
G,1
E,-1
C,-1
D,1
C,1
E,1
D,-1
D,1
G,-1
D,-1
C,-1
I,-1
C,1
B,1
S,1
B,-1
D,1
A,3
D,-1
A,2
G,1
D,1
D,-1
B,1
A,-4
G,-1
D,1
C,-1
H,-2
G,2
S,3
C,-1
I,1
C,1
I,-1
A,1
D,-2
M,-2
S,-2
A,-2
S,2
A,4
C,-1
C,1
I,1
D,-1
K,-1
I,-1
C,-1
S,-2
C,1
M,1
K,1
S,2
C,-1
M,-1
I,1
S,-1
C,1
I,-1
M,1
A,-5
K,-1
S,-1
C,-1
S,4
C,1
M,1
S,-1
M,-1
S,-3
C,-1
S,3
S,-1
A,5
F,-1
C,1
J,-1
I,1
S,-1
E,-1
M,1
A,-1
J,1
M,-2
P,-1
U,1
K,-1
C,-1
E,2
K,1
U,-1
P,-1
K,-1
I,-1
P,2
I,1
P,-2
C,1
P,2
A,1
B,-1
S,-2
E,1
P,-1
S,-1
I,-1
I,-1
E,-1
U,1
E,1
E,-2
I,2
U,-1
U,1
S,1
F,1
P,-1
A,-3
K,1
B,1
S,3
I,-1
P,1
T,1
M,2
C,-1
S,-1
K,-1
S,-1
B,-1
S,1
S,-1
B,1
C,1
K,1
C,-1
B,-1
K,-1
B,1
R,1
S,1
B,-1
K,1
R,-1
T,-1
A,1
U,-1
A,1
P,1
A,-1
B,1
S,-1
C,1
I,1
E,-1
A,-3
C,-1
C,1
K,1
F,-1
S,2
E,3
C,-1
B,1
S,2
D,3
C,1
C,-1
E,-2
B,-1
I,-1
F,1
A,4
S,-1
B,-1
D,-1
I,1
F,-1
I,-2
A,1
E,3
D,1
S,1
C,1
I,1
A,-1
C,-1
I,1
S,-2
B,1
F,1
F,-1
I,-1
J,-1
I,1
O,-1
A,1
I,-1
D,-1
B,-1
S,1
I,1
A,-1
B,1
S,1
B,-1
D,1
A,1
I,-2
X,-1
D,-1
X,1
O,1
S,-2
C,1
D,1
O,-1
X,-1
N,-4
O,1
S,2
D,-1
O,-1
A,-1
S,-2
D,1
O,1
A,1
C,-1
J,1
N,-1
S,1
E,-2
G,-1
L,1
E,1
C,1
N,3
L,-1
D,-1
G,1
N,-1
D,-2
K,-1
K,1
D,3
N,1
C,-1
L,1
E,1
C,1
J,-1
N,-2
D,-1
Q,-2
R,-1
O,1
J,2
N,1
Q,1
A,-1
A,1
C,-1
C,1
F,1
J,-1
Q,-1
Q,1
D,1
J,1
S,-1
D,-1
J,-1
N,-2
J,1
D,1
C,-1
J,-1
J,1
Q,-1
N,3
D,-1
D,1
C,1
C,-1
F,1
N,-2
A,-3
S,1
F,-1
F,1
A,-1
S,-1
Q,1
C,1
A,2
Q,-1
N,2
S,1
Q,1
C,-1
F,-1
A,-2
N,-2
F,1
N,2
A,4
F,-1
N,-2
Q,-1
D,-1
C,1
F,1
X,1
N,-1
F,-1
I,1
N,1
C,-1
D,1
D,-1
C,1
S,1
F,-1
I,-1
F,1
X,2
D,1
C,-1
X,-1
C,1
I,1
D,-1
Q,1
S,-1
N,-1
D,1
I,1
X,1
B,2
X,3
B,-1
N,3
I,-1
N,-3
X,1
