car,move
AB,-1
AH,1
P,1
AL,-1
J,2
AG,1
AM,-1
AC,-2
AJ,-1
AD,1
AP,-1
AC,2
AM,1
AP,1
AG,-1
AH,1
AI,-2
AQ,-1
O,1
AP,-1
J,1
AP,1
AD,-1
AP,-1
J,-3
D,1
AD,1
AB,1
AB,-1
AP,1
J,2
AP,-1
AB,1
AI,1
H,1
AQ,1
D,-1
AB,-1
AP,1
AA,-1
AP,-1
H,-1
AD,-1
D,1
AC,-1
AE,-1
AG,1
AE,1
H,1
AI,-2
H,-1
AD,1
AP,1
D,-1
AD,-1
G,-1
AK,-1
AJ,1
AA,-1
AR,-1
AC,-1
D,1
AR,1
A,-1
G,1
AD,1
G,-1
AD,-1
AR,-1
AJ,-1
AA,3
AP,-1
P,-1
AP,1
AJ,1
P,1
AR,1
AR,-1
B,-1
AI,2
AJ,-1
B,1
AE,-1
H,1
B,-1
AE,1
H,-1
AE,-1
AI,1
G,1
B,1
AC,1
G,-1
AC,-1
B,-1
AA,-2
AP,-1
AR,1
AH,-1
AG,-1
J,-1
G,1
AK,1
B,1
AO,1
AC,1
A,-4
AA,1
AH,1
P,-1
G,-1
G,1
J,2
AG,1
P,1
B,-5
AH,-1
AH,1
L,1
AE,1
L,-1
J,-1
AA,1
I,-1
AA,-2
AD,1
AK,-1
B,2
AH,-1
AC,-2
AR,-1
AG,-1
AR,1
AG,1
J,1
AG,-1
AH,1
J,-2
G,-1
AB,1
AA,-1
AI,-2
B,1
AD,-1
AG,1
AD,1
F,1
D,-1
H,1
AG,-1
AO,-1
P,1
AP,1
B,-1
AB,-1
AK,1
AD,-1
F,1
AD,1
E,1
P,-1
F,1
AB,1
AA,1
AK,-1
AQ,-1
N,-1
U,-1
AK,1
AB,-1
AQ,-1
AQ,1
E,1
AB,1
A,-1
C,1
B,1
A,-1
AA,-1
U,1
AJ,1
AD,-1
E,-1
AB,-1
AK,-1
A,2
E,1
I,1
AC,1
P,1
A,-2
AR,-1
AC,-1
A,1
C,-1
U,-1
P,-1
U,1
AJ,-1
AE,-1
C,1
AQ,1
AI,1
AE,1
AQ,-1
E,-1
AE,-1
AA,1
N,1
AB,1
N,-1
U,-1
AJ,1
J,-1
B,2
AQ,-1
C,-1
E,1
J,1
AQ,2
C,1
A,-1
B,-1
AR,1
AE,1
AI,-1
AK,1
AD,1
B,1
P,1
AA,-1
AK,-1
A,1
AR,-1
C,-1
AA,1
C,1
E,-1
AI,1
E,1
C,-1
AI,1
C,1
AA,-1
P,-1
