car,move
AA,-1
AA,1
P,2
G,-1
F,1
L,1
AA,-2
L,-1
F,-1
O,1
AA,2
G,1
AJ,-1
L,1
G,-1
AB,-1
K,1
G,1
P,-2
AP,-1
AA,-1
AC,-3
AQ,-1
AQ,-1
K,-1
G,-1
N,-1
U,-1
AQ,1
U,1
AO,1
AL,-1
O,-1
L,-1
AM,-1
U,-1
AK,-1
L,1
AB,1
AR,-1
AM,1
AH,2
AQ,1
AR,1
AE,-1
AO,-1
AQ,-1
AR,-1
AE,1
AQ,1
AG,1
AI,-1
AB,-1
K,1
H,1
AG,-1
K,-1
U,1
AC,1
H,-1
AE,-1
AR,1
U,-1
O,1
AA,1
AE,1
AP,1
K,1
O,-1
AF,-1
H,1
AP,-1
AE,1
AG,1
AR,-1
AD,1
AC,1
W,1
AA,1
H,-1
H,1
K,-1
S,1
AR,1
AP,1
U,1
AR,-1
P,1
AR,1
AR,-1
S,-1
AC,-1
AJ,1
N,1
F,1
AR,1
AR,-1
AA,-3
S,1
AE,1
P,1
Q,1
AR,1
AD,-1
K,1
AE,-1
AR,-1
AE,1
AI,-1
AD,1
AC,-1
AA,1
AD,-1
F,-1
G,1
H,-1
AJ,-1
P,-2
Q,-1
S,-1
AE,-1
H,1
S,1
AG,-1
S,-1
H,-1
AQ,-2
AI,-1
AQ,2
AG,1
G,-1
AG,-1
P,1
K,-1
K,1
AI,2
G,1
AA,-1
AA,1
AG,1
P,-1
AR,1
AE,1
G,-1
AK,1
N,-1
S,1
AK,-1
AC,1
AK,1
AE,-1
AD,1
AD,-1
AG,-1
AJ,1
U,-1
AI,-2
AJ,-1
K,-1
AI,1
S,-1
AG,1
S,1
AD,1
AA,1
L,-1
U,1
AP,-1
H,1
N,1
AK,-1
H,-1
AO,1
AE,1
AD,-1
L,1
H,1
AI,2
P,2
AH,-2
AH,2
AK,1
G,1
K,1
G,-1
AI,-3
AK,-1
G,1
Q,1
AA,-4
G,-1
AO,-1
W,1
AA,3
AC,1
G,1
Q,-1
AA,-1
AO,1
G,-1
H,-1
N,-1
AD,1
S,-1
AK,1
U,-1
K,-1
H,1
Y,-1
L,-1
W,1
AC,-2
AA,1
AO,-1
AB,1
AE,-1
AE,-1
J,1
J,-1
J,1
AF,1
U,2
O,1
U,-2
P,-2
O,-1
AD,-1
AB,-1
H,-1
U,2
N,2
G,2
H,1
J,-1
AK,-1
J,3
AC,2
J,-3
S,1
AD,1
AR,-1
G,-1
AP,1
AA,1
N,-1
H,-1
AR,1
P,2
L,1
O,1
U,-1
H,-1
S,-1
AR,-1
AC,-1
H,1
AR,1
P,-2
AA,1
AJ,1
O,-1
AC,1
S,1
U,1
L,-1
AJ,-1
N,1
G,-1
F,1
L,1
L,-1
AD,-1
H,1
O,1
AK,1
AD,1
F,-1
G,2
P,1
AC,1
L,1
AJ,1
H,-1
O,-1
AJ,-1
S,-1
H,1
O,1
O,-1
H,-1
H,1
S,1
H,-1
AB,1
K,1
H,1
Q,1
AP,-1
AB,-1
AA,-1
AB,1
AB,-1
AG,-1
Q,-1
AA,-3
O,1
AP,1
Q,1
AC,-1
AJ,1
AC,-1
AD,-1
H,-2
AC,1
AC,-1
AA,2
AJ,-1
AG,1
AP,-1
H,2
AE,-1
Q,-1
H,-1
O,-1
AK,-1
S,-1
AR,-1
H,1
U,3
AC,1
AP,1
AA,-2
AR,1
G,-2
Y,1
N,1
U,-1
AR,-1
H,-1
V,1
P,1
S,1
F,1
V,-1
AR,1
P,-1
U,1
AJ,1
P,1
F,-1
V,1
V,-1
N,-1
Q,1
G,2
V,1
AK,1
U,-1
V,-1
Q,-1
O,1
AC,1
V,1
D,1
AJ,-1
A,-2
S,-1
B,-1
AG,-1
V,-1
H,1
Y,-1
S,1
AQ,-1
Q,1
H,-1
AC,-1
AA,2
J,-1
AJ,1
AK,-1
Y,1
U,1
A,-3
J,1
N,1
K,-1
H,1
Y,-1
J,-1
AC,-1
N,-1
K,1
H,-1
AJ,-1
U,-1
AC,1
B,-1
AK,1
AA,-2
AC,1
U,1
Y,1
J,1
N,1
J,-1
AB,1
H,1
I,-1
AQ,1
G,-1
Q,-1
Q,1
H,1
AG,1
U,-1
Q,-1
M,1
AG,-1
AP,-1
AQ,-1
AB,-1
V,1
B,-2
AB,1
AO,2
J,1
Q,1
A,1
AO,-1
P,-1
AQ,1
B,1
D,-1
G,1
AO,-1
AA,2
H,-3
AB,-1
I,1
K,-1
AG,1
I,-1
AC,-3
P,-1
M,-1
G,1
AO,1
AK,-1
P,2
Q,-1
AB,1
AK,1
S,-1
AB,-1
AB,1
F,1
S,1
U,1
P,-2
Q,1
E,1
C,2
AE,1
AB,-1
L,-1
B,1
H,3
V,-1
P,2
AG,-1
AB,1
D,1
Y,-1
A,1
AG,1
AD,1
AK,-1
AR,-1
A,-4
L,1
P,-1
AO,-1
D,-1
F,3
AO,1
