car,move
M,1
V,-1
J,1
T,-1
M,-1
I,-1
H,1
V,1
I,1
I,-1
U,1
M,1
I,1
G,1
G,-1
V,1
K,1
M,-1
H,1
N,-1
H,1
T,1
N,1
M,1
W,-1
N,-1
Q,1
H,-1
W,1
H,1
U,-1
H,-1
Q,-1
V,-2
G,1
Q,1
H,1
W,-1
O,-1
J,-1
C,-1
Y,-1
N,-1
K,1
J,1
L,-1
Q,-1
T,-1
J,-1
N,1
V,-1
V,1
U,2
C,1
T,1
Q,1
U,-1
Q,-1
Y,1
T,-1
G,-1
M,-1
U,1
M,1
J,1
V,-1
U,-2
S,1
G,1
T,1
K,1
W,1
Q,1
D,1
C,-1
B,2
W,-1
U,2
U,-1
B,1
Y,-1
Q,-1
B,-3
M,-1
B,3
Q,1
A,1
O,-2
N,1
A,-1
N,-2
Y,1
B,-2
K,2
O,1
K,-1
Z,-1
Q,-1
A,1
N,1
P,-1
K,1
T,-1
B,1
Y,1
C,1
K,-1
B,1
T,1
A,1
Q,1
P,1
C,-1
K,-1
N,-1
A,-1
K,1
Y,2
M,-1
W,1
Y,-3
K,1
D,-1
W,-1
S,-1
Z,1
W,1
D,1
U,1
X,1
N,-1
G,1
G,-1
O,-2
B,-1
A,-1
Z,-1
S,1
Y,1
S,-1
X,1
B,1
N,1
P,-1
N,-1
X,-2
B,-1
X,1
N,1
Y,-1
N,2
G,1
C,1
Y,1
G,-2
Y,-1
X,-1
U,-1
A,2
X,1
B,1
D,-1
J,-1
V,2
L,1
N,-1
G,-1
Y,1
O,2
P,1
Y,-1
P,-1
O,-1
Z,1
G,3
Z,-1
V,-1
A,-1
C,-1
G,1
V,2
L,-1
V,-1
L,1
Y,1
L,-1
Q,1
C,1
C,-1
N,-2
X,3
G,-1
X,3
