car,move
K,-3
J,-1
S,-2
G,-1
T,-2
J,-1
G,1
S,2
Q,-1
G,-3
S,-1
Q,1
Q,-1
G,2
J,1
J,1
K,1
N,-1
S,1
U,-1
N,1
U,1
K,-1
Q,1
J,-1
K,1
Q,-1
K,1
U,-1
J,1
J,-1
K,1
U,1
U,-1
J,-1
J,2
Q,1
J,-2
G,1
U,1
G,-3
G,-1
N,-1
J,1
E,1
Q,-1
N,1
K,-1
N,-1
S,-1
G,1
O,-1
U,-1
K,-3
E,-1
S,-1
E,1
J,1
T,-1
K,1
O,1
U,-1
Q,-1
A,1
S,-1
L,2
T,1
A,1
K,-2
O,-1
A,-1
M,-1
T,-1
G,-1
V,-2
S,1
S,-1
V,2
O,-1
A,1
K,1
K,-1
S,1
A,-1
M,-1
S,-1
K,1
M,1
O,1
V,-2
K,-1
R,-1
G,1
R,1
T,1
T,-1
K,1
S,-1
K,-1
R,-1
S,2
G,-1
R,1
V,1
G,1
M,-1
S,-3
M,-1
S,2
S,-1
L,-2
Q,2
U,5
O,1
K,1
U,-2
V,-1
U,-3
A,1
N,1
U,2
Q,1
U,-1
K,-1
N,-1
K,1
U,-1
L,2
O,-1
K,-1
S,1
K,1
L,-1
U,3
S,-1
O,1
U,-3
A,-1
A,1
A,-2
N,1
A,1
A,-1
U,6
L,1
L,-1
S,1
E,-1
L,1
G,3
L,-2
S,-1
T,-3
T,2
Q,-1
V,2
S,1
K,1
V,-2
Q,-1
R,-1
Q,1
Q,-1
K,-1
U,-6
G,-2
U,4
S,-1
G,1
T,-2
U,-2
J,-1
J,1
J,-1
T,1
N,-1
G,-1
Q,1
U,3
T,-1
Q,-2
T,1
J,1
T,2
U,-3
S,1
S,-1
O,-1
T,-3
Q,1
J,-1
Q,1
T,1
S,1
U,-1
Q,-1
O,1
Q,-1
O,-1
J,1
S,-1
G,1
Q,2
G,-1
S,1
J,-1
J,1
U,2
R,1
T,-1
R,-1
R,1
T,2
R,-1
G,1
T,1
U,-1
G,-1
O,1
U,4
S,-1
O,-1
Q,-2
R,-2
U,-5
G,1
T,-2
S,1
O,1
N,2
S,-1
S,1
U,4
K,1
U,-5
G,1
X,-1
G,-2
U,3
G,2
J,-1
X,-1
K,-1
N,1
S,-1
H,1
N,-1
G,-1
C,1
G,-1
N,1
C,-1
G,2
F,1
N,-1
G,-2
T,-1
T,1
F,-1
T,-1
H,1
F,3
N,1
U,-1
I,-2
P,-1
B,1
F,-1
G,-1
U,-2
N,-1
S,1
I,1
K,1
G,1
P,-1
I,-2
G,-1
B,-1
W,-2
H,-1
E,1
F,-2
U,5
E,-1
H,1
K,-1
S,-1
U,1
H,-1
H,-1
W,2
E,1
P,1
W,-1
N,1
E,-1
N,-1
X,1
V,-1
G,1
N,1
P,-1
N,-1
W,-1
V,1
V,-1
G,-1
U,-6
W,2
S,1
O,1
V,1
K,1
I,-1
U,5
X,1
P,1
X,-2
P,-1
O,-1
H,2
I,2
C,1
U,-4
N,1
P,1
W,-1
W,1
U,-1
K,-1
U,2
K,1
N,-1
O,1
K,-1
N,1
H,1
N,-1
E,1
X,2
K,1
H,2
J,1
E,-1
E,1
I,1
N,-2
N,3
O,-1
K,-1
A,1
A,1
O,1
N,-2
S,-1
T,-1
T,1
S,1
C,-1
U,1
C,1
R,1
G,-1
U,-2
T,-1
G,1
H,-1
J,-1
C,-1
S,-1
L,1
I,-2
V,-1
S,1
K,-1
T,1
U,3
H,-1
S,-2
S,1
R,1
K,1
A,-1
C,1
L,-1
A,1
C,1
Q,1
U,2
U,-1
Q,-1
P,-1
S,1
L,1
S,-1
A,-1
V,1
R,1
K,-1
D,-1
D,1
R,-2
A,1
S,1
R,1
J,1
D,-1
T,-1
S,-1
L,1
J,-1
J,1
P,1
S,-1
D,1
D,-1
S,1
L,-1
K,1
P,-3
J,-1
S,1
K,1
R,-1
T,1
X,1
