car,move
P,1
AK,1
AQ,1
AD,-1
AC,3
AQ,-1
AB,1
AQ,1
AE,-1
N,-1
AJ,1
AE,1
P,-1
H,1
N,1
AG,1
J,-1
R,1
AJ,-1
R,-1
W,-1
J,-2
AJ,1
AG,-1
X,1
L,1
L,-1
AJ,-1
L,1
V,1
AQ,-1
H,-1
P,2
R,1
AB,-1
T,2
AP,-1
K,1
T,-2
AP,1
P,-2
AI,-1
P,2
A,-1
A,1
B,-1
AE,-1
U,-1
A,-1
AI,1
V,-1
H,1
V,1
N,1
AJ,1
K,-1
U,1
AE,1
N,-1
AQ,1
AI,1
AC,-3
K,1
X,-1
F,1
AK,-1
J,-1
AC,2
X,1
AR,-1
Q,1
A,1
P,-2
G,2
AJ,-1
R,-1
AC,-1
AG,1
AC,-1
C,1
G,-1
C,-1
C,1
AC,2
T,1
AE,-1
AR,1
B,-1
AC,-1
AP,-1
T,1
AE,1
AR,-1
J,1
AG,-1
AE,-1
I,-1
G,1
J,-1
K,-1
C,-1
H,2
N,1
AG,1
A,1
Q,-1
X,-1
U,-1
F,1
AC,-1
U,1
AG,-1
AG,1
N,-1
F,-1
AG,-1
AO,1
R,1
U,-1
X,1
F,1
O,-1
X,-1
X,1
H,-1
T,-1
U,1
AQ,-1
G,-1
O,1
AR,1
AE,1
AB,1
R,-1
G,1
AQ,1
A,-1
F,-1
Q,1
L,-1
L,1
AB,-1
AO,-1
AI,-2
T,1
AD,1
AP,1
AI,2
N,1
K,1
T,-1
AK,1
AK,-1
AG,1
Q,-1
AR,-1
AG,-1
AP,-1
R,1
AI,-1
R,-1
AR,1
Q,1
V,-1
N,-1
AQ,-1
AB,1
A,1
F,1
D,1
T,1
AP,1
R,1
N,1
AI,1
C,1
AI,-2
R,-1
V,1
AR,-1
AI,1
R,1
T,-2
N,-1
G,-1
A,-3
AP,-1
A,2
T,2
AD,-1
AI,1
N,-1
AQ,-1
R,-1
N,2
V,-1
H,1
AO,3
T,-1
A,1
AI,-2
V,1
AE,-1
C,-1
P,1
AQ,1
N,-1
R,1
A,-2
N,1
AE,1
AB,-1
N,-2
F,1
AC,1
AA,1
AC,1
AI,2
B,-3
V,-1
AC,-2
T,1
C,1
Y,-1
AO,-2
B,-1
AA,3
A,-1
AA,-2
AB,1
AR,1
N,3
A,1
AE,-1
AK,1
AO,1
B,1
P,-1
M,1
N,-1
AO,-1
A,-1
G,1
B,1
AI,-2
P,1
AK,-1
B,-3
AO,-1
R,1
AO,2
M,1
D,-1
AI,2
M,-1
R,-1
AO,-2
AI,-1
Y,1
U,-1
AI,-1
U,1
P,-1
O,-1
B,1
AP,1
AR,-1
B,-1
M,1
AE,1
AA,-1
V,1
AR,1
AA,-1
V,-1
G,-2
K,-1
AF,-1
W,1
X,1
AQ,1
AE,-1
AG,-2
AK,1
AB,-1
AA,1
AK,-1
M,-2
AR,-1
T,-2
AC,1
G,2
K,1
P,2
K,-1
AR,1
L,-1
AQ,-2
N,-1
AJ,1
L,1
AJ,-1
P,-1
AQ,2
N,1
B,1
P,1
AA,-1
AI,1
X,1
A,1
C,-1
AJ,1
P,-2
AG,3
AJ,-1
AK,1
AI,1
AJ,1
G,-1
AJ,-1
AG,-1
AC,1
N,-2
AQ,-1
K,1
F,-1
U,-1
X,1
AF,1
AJ,1
AC,-2
W,-1
AQ,-1
X,3
O,1
AC,1
Q,-1
AC,-1
P,1
V,1
AK,-1
K,-1
AK,1
AI,-2
