car,move
J,1
Q,1
G,1
M,1
K,1
Q,-1
W,-1
H,2
Y,-1
Q,1
G,-1
M,-1
V,-1
N,-1
U,2
Y,1
O,-3
K,1
M,-1
L,-1
Z,-1
Y,5
H,1
M,1
N,1
G,1
D,1
Q,1
M,-1
X,1
Y,-2
V,-1
R,-1
U,-2
X,-1
U,2
W,1
S,1
K,2
X,1
D,-1
U,-1
P,-1
C,-1
O,-1
Y,-2
P,1
N,-2
K,1
S,-1
J,-1
X,3
R,1
M,2
Q,-1
U,1
M,-2
Y,-1
G,1
S,1
X,2
M,1
Y,1
J,1
H,-1
Q,1
P,-1
N,2
K,-1
R,-1
P,1
X,-1
P,-1
O,1
Y,2
W,-1
R,1
R,-1
W,1
M,-1
O,-1
R,1
N,-2
P,1
X,1
O,2
N,1
P,-1
G,-1
I,-1
W,-1
R,-1
X,-1
U,-1
M,1
X,1
R,1
G,1
G,-1
V,-3
W,1
X,1
