car,move
Q,1
I,-1
K,1
M,1
W,-1
U,1
V,1
H,-1
K,-1
M,-1
Q,-1
K,1
K,-1
V,-1
G,1
H,1
U,-1
K,1
M,1
G,-1
T,-1
J,1
H,2
T,1
Q,1
G,1
U,1
W,1
M,-1
V,-1
I,1
H,1
D,1
C,-1
B,1
W,-1
C,1
B,-1
G,-1
Y,-1
D,-1
Y,1
U,-1
H,-2
M,-1
X,1
Q,-1
X,-1
Y,-1
G,1
Q,1
C,-1
Q,-1
H,1
Q,1
N,-2
V,1
N,2
N,-2
U,1
O,-1
M,2
Y,1
U,-1
M,-1
Q,-1
O,-1
T,-1
H,1
Z,-1
T,1
K,1
L,-1
U,1
W,1
Z,1
D,1
L,1
L,-1
T,-1
V,-2
D,-1
M,-1
S,1
X,2
G,2
D,1
K,1
D,-1
Z,-1
J,-1
K,1
P,-1
T,1
P,1
P,-1
K,1
K,-1
Q,-2
X,4
Y,3
U,1
X,-1
N,1
Y,-1
J,1
D,1
B,1
O,-1
P,1
M,1
T,-1
Q,-1
B,-1
O,1
G,-1
P,-1
W,-1
Y,-1
D,-1
P,1
C,1
R,-1
H,-1
Q,1
O,-1
N,2
G,-2
W,-2
R,-1
M,-1
T,1
N,-1
I,-1
V,-1
M,1
H,-1
X,1
I,-1
F,1
H,-1
Y,-2
F,-1
J,-1
V,-1
Y,1
K,-2
F,1
J,1
N,1
H,1
N,-1
Y,-1
R,2
Q,-1
P,1
X,1
