car,move
A,1
K,-1
M,2
S,-1
K,1
S,-3
T,-1
S,-1
B,1
S,1
K,-1
S,-1
U,-1
B,-1
A,-1
P,1
S,-1
M,-1
M,1
G,-1
G,1
S,2
P,-1
E,1
B,2
B,-1
K,1
I,-1
M,-1
K,-1
M,1
I,1
B,1
U,1
K,1
T,1
S,-2
G,-1
K,-1
T,-1
B,-2
S,-1
B,1
M,-1
G,1
E,-1
A,-1
T,1
S,1
K,1
T,-1
A,2
B,-1
U,-1
B,1
M,-1
G,-1
U,1
E,1
A,-2
G,1
U,-1
K,-1
E,-1
S,-1
E,1
G,-1
K,1
M,2
G,1
P,1
A,1
A,-1
M,-2
H,1
E,-1
G,-1
E,1
B,1
G,1
M,1
B,-1
E,-1
H,-1
K,-1
A,1
B,-1
H,1
G,-1
G,1
K,1
K,-1
M,1
K,1
G,-1
G,1
K,-1
H,-1
S,3
P,-1
B,1
M,-1
U,1
U,-1
U,1
M,-1
K,1
E,1
S,1
M,2
E,-1
A,-1
E,1
U,-1
M,-2
P,1
M,2
E,-1
F,-1
M,-1
P,-1
G,-3
U,1
M,1
D,1
U,-1
U,1
D,1
T,1
C,-2
T,-1
M,-1
H,-1
S,1
H,1
H,-1
M,1
M,-1
C,1
H,-1
P,-1
H,1
U,-1
S,1
K,-1
M,1
H,-1
U,1
P,-1
U,-1
C,-1
C,1
U,1
P,2
U,-1
H,2
C,-1
M,-1
H,-1
M,1
C,1
P,1
C,-1
C,1
H,1
M,-1
C,1
H,1
D,-1
D,1
H,-1
D,-1
D,-1
D,2
M,1
K,1
K,1
M,-1
S,-2
M,1
D,3
C,-1
S,1
C,1
D,-1
S,1
D,-1
C,-2
C,2
S,-2
C,-1
C,1
D,2
S,2
G,2
C,-1
C,-1
J,-1
D,-1
C,2
O,-1
D,1
C,-1
H,-1
S,-2
H,-1
O,1
C,-1
J,1
C,1
G,2
C,-1
D,-1
E,4
F,1
A,3
D,1
I,-1
C,1
S,1
I,1
C,-1
S,-1
B,1
B,-1
B,-1
I,-2
A,1
S,1
S,-1
S,2
X,-1
C,1
N,-5
X,1
L,1
F,-1
J,-1
D,-1
A,1
X,-1
O,-1
S,-2
A,-1
N,1
A,1
Q,-1
X,1
C,-1
Q,1
D,1
D,-1
O,1
C,1
N,-1
O,-1
I,1
D,1
B,1
S,2
D,-1
I,1
N,1
I,1
S,-2
D,1
A,-1
S,1
D,-1
N,-1
C,-1
O,1
J,1
X,-1
J,-1
C,1
A,1
B,-1
O,-1
B,2
C,-1
X,1
X,-1
D,1
O,1
B,-1
A,-1
D,-1
X,1
X,-1
S,-1
O,-1
C,1
C,-1
C,1
X,1
D,1
B,2
S,1
A,1
C,-1
B,-1
I,-1
A,-1
Q,-1
C,1
R,-1
D,-1
O,2
D,1
J,2
C,-1
X,5
D,-1
E,-3
F,2
D,-1
D,1
S,1
S,-4
C,1
S,-1
A,-1
F,-1
B,-1
X,1
