car,move
W,-1
V,1
P,1
Q,1
P,-1
Y,-1
U,1
I,-1
J,1
Y,1
K,1
Q,-1
W,1
V,-1
W,-1
D,1
Y,-1
G,1
H,-1
G,-1
I,1
G,1
I,-1
U,-1
Y,1
C,-1
D,-1
H,2
T,-1
M,-1
U,1
W,1
V,-1
H,1
N,-2
X,1
X,1
G,2
Q,-1
U,1
I,1
R,-1
Q,-1
H,1
Q,-1
H,-1
Q,1
G,-1
I,-1
W,-1
Q,1
Y,-1
O,-1
P,-1
P,1
Y,1
R,1
O,-1
Q,-1
P,-2
G,-1
P,2
G,1
W,1
R,-1
I,1
P,-1
I,-1
O,1
R,1
O,-2
U,-2
J,1
I,1
R,-1
I,-1
G,1
U,2
P,1
G,-2
U,-1
K,1
W,-1
T,1
U,1
Y,-1
W,-1
R,1
L,-1
J,-1
Q,-1
O,1
J,1
W,1
O,-1
J,-1
T,-1
J,1
R,-1
Q,1
W,-1
R,1
V,-1
S,1
O,1
I,1
I,-1
O,-1
O,1
W,1
R,-1
G,1
G,-1
O,-1
T,1
U,-2
T,-1
K,1
R,1
J,-1
W,-1
O,1
I,1
Y,1
Q,1
H,1
T,1
D,1
W,1
G,1
U,1
D,-1
Z,-1
J,-1
K,2
X,3
T,-1
S,-1
R,-1
R,1
X,-1
V,2
Z,1
O,2
N,2
Y,-1
Q,1
X,3
