car,move
K,-3
E,1
J,-2
K,-1
T,-2
K,1
J,1
K,3
U,-1
E,-1
J,1
T,-3
Q,-1
J,-2
T,-1
J,2
K,-3
G,-2
G,2
K,3
U,1
J,-2
J,2
G,-1
Q,1
J,-1
N,-1
U,-1
T,1
O,-1
U,1
K,-4
G,-1
J,1
G,1
T,3
S,-4
T,-4
G,-1
G,1
J,-1
G,-2
U,-2
J,1
Q,-1
E,1
U,1
Q,-1
O,1
E,-1
J,-1
J,1
O,-1
Q,1
S,1
K,1
Q,-1
K,-1
S,-1
E,1
S,1
E,-1
S,1
Q,2
G,-1
G,3
K,1
T,5
J,-2
O,1
J,1
J,1
O,-1
T,-1
T,-1
K,1
U,-1
O,1
K,-2
O,-1
T,1
S,-1
Q,-1
S,-1
T,-4
Q,1
O,1
N,1
N,-1
O,-1
J,-1
Q,-1
O,1
G,-2
J,1
U,1
O,-1
E,1
A,1
J,-1
K,-1
O,1
S,-1
Q,1
Q,-2
O,-1
U,-1
O,1
U,1
M,1
Q,1
Q,-1
U,1
A,1
J,1
S,2
K,1
L,1
U,-2
L,1
M,-4
L,-2
N,1
V,-1
T,-1
J,-1
T,1
U,6
V,-1
G,-1
V,-2
A,-1
U,-4
N,-1
U,2
A,-1
U,-1
Q,2
V,1
R,-1
V,-1
N,1
G,1
K,1
A,1
A,-1
R,1
E,-1
K,-1
E,1
V,1
U,-1
V,1
G,-1
U,-1
G,1
V,1
K,1
N,-1
O,-1
A,1
Q,-2
A,-1
E,-1
J,1
U,1
U,4
J,-1
G,1
Q,1
Q,1
T,1
J,1
U,-3
J,-1
T,-1
G,-1
J,1
O,1
G,2
O,-1
U,1
Q,-2
U,-2
K,-1
S,-1
J,-1
U,1
V,-1
R,-2
O,1
O,-1
T,1
R,2
T,-1
V,1
J,1
L,1
T,3
S,1
V,-1
G,-1
K,1
U,1
T,-1
L,-1
O,1
K,-1
K,1
V,1
L,1
U,-4
O,-1
O,1
N,1
V,-1
K,-1
U,4
L,-1
G,1
R,-3
G,1
K,1
E,1
N,1
U,-2
A,2
K,-1
J,1
A,-2
E,-1
L,-2
T,-1
M,2
N,1
T,1
S,1
L,-1
T,1
J,-1
U,-1
E,1
X,-1
M,-1
K,2
L,-1
K,-1
E,-1
M,1
G,-3
X,1
X,-1
S,-1
K,-1
U,-1
X,1
X,-1
K,1
E,1
T,1
J,-1
X,-1
U,1
S,1
H,1
E,-1
S,-1
C,1
H,1
G,1
U,1
U,1
N,-1
C,1
N,1
S,1
N,-1
G,2
S,-1
S,1
U,-2
N,1
S,-1
N,-1
S,1
L,1
E,1
J,-1
N,1
A,2
U,2
D,-1
E,1
D,1
C,-1
K,-2
K,2
N,-1
K,-1
L,-1
G,1
U,3
A,-2
U,-2
L,1
C,-1
U,-4
N,1
U,2
K,1
C,1
C,-1
E,-2
U,-2
F,1
G,-1
E,3
L,-1
U,2
G,1
N,-1
U,-1
F,1
L,1
A,2
F,-3
C,1
N,1
L,-1
G,-1
L,1
A,-1
I,-1
A,-1
N,-1
C,-1
L,-1
P,-2
L,1
L,-1
U,5
N,1
B,1
L,1
A,1
N,-1
L,-1
P,1
B,-1
O,1
O,-1
U,-2
K,-2
B,1
U,-2
K,1
L,1
U,4
O,1
K,1
B,-1
C,1
N,1
O,-1
L,-1
N,-1
L,1
A,1
B,1
K,-2
P,-1
U,-2
U,-3
P,1
A,3
W,-1
W,1
L,-2
F,-2
E,-3
U,2
O,1
A,-1
X,-1
H,1
F,-1
L,1
U,3
L,-1
P,-1
U,-4
N,1
F,1
K,2
P,1
E,1
A,1
H,1
X,3
U,1
N,-2
E,-1
K,-2
J,1
R,1
R,-1
P,-1
S,-1
G,-4
G,2
V,-5
S,-1
I,-2
H,-1
V,1
U,-2
C,1
K,1
V,-1
R,1
D,-1
H,2
K,-1
G,-1
H,-2
D,1
S,1
Q,1
V,1
E,1
D,-1
P,1
F,-1
R,2
Q,1
S,1
P,-1
E,-1
U,2
S,-1
U,1
Q,-2
V,-1
I,-1
N,-1
G,-1
V,1
N,1
L,2
R,-2
J,1
I,1
E,1
T,-1
R,2
U,1
S,1
T,1
E,-1
V,-1
Q,3
E,1
U,-5
E,-1
E,1
J,-2
U,6
D,1
S,1
V,1
U,-1
L,-1
V,-1
E,2
P,1
V,1
G,1
E,-1
M,1
C,-1
E,1
M,-1
E,-3
P,-1
S,-1
Q,-2
P,1
E,3
Q,2
C,1
G,-1
L,-1
F,2
A,1
C,-1
V,-1
U,-3
F,-1
M,1
G,1
F,-1
F,1
I,1
T,1
S,1
I,-1
C,1
D,-1
F,1
D,1
T,1
T,-2
U,-1
D,-1
S,1
B,-1
S,-1
T,1
G,-1
K,1
F,-1
M,-1
P,-1
F,1
B,1
K,-1
F,-2
L,2
U,2
L,-2
T,-1
G,1
V,1
T,2
V,-1
S,1
E,-1
Q,-1
R,-1
P,1
D,1
F,1
P,-1
M,-1
D,-1
A,-1
P,-2
X,1
