car,move
A,-1
B,-1
C,-1
H,-1
D,-1
A,-1
B,-1
X,-2
G,-1
F,2
K,-2
I,-3
G,-1
E,1
K,1
X,3
J,-2
L,-4
K,1
F,-1
H,3
X,1
