car,move
E,1
A,2
A,-1
K,-1
S,-1
S,1
J,-1
A,-1
K,-3
T,-1
A,2
J,-1
U,-1
S,-1
S,1
A,-1
J,1
T,-1
A,-1
A,1
K,4
T,1
T,-1
J,-1
A,1
J,1
K,-5
T,1
J,1
A,-1
J,-2
E,1
T,-1
U,1
T,1
T,1
S,-2
T,-1
A,1
S,1
K,1
T,1
A,-2
T,-2
Q,-1
S,-1
A,2
E,1
Q,-1
U,-2
E,-1
U,1
L,1
K,-1
K,2
E,1
K,-1
L,-1
A,-2
K,1
F,-2
B,1
Q,1
K,-1
F,-1
E,-1
K,1
E,1
F,2
U,1
U,-1
F,-1
Q,1
S,2
T,1
F,-1
U,1
S,-1
F,2
B,-1
F,-1
T,-1
U,-2
Q,-1
F,-1
Q,1
T,1
B,1
F,2
S,-1
K,-1
T,-1
K,1
B,-1
K,-1
U,2
F,-1
B,1
A,2
U,-2
S,1
F,1
B,-1
T,1
K,1
B,1
S,-1
A,1
T,-1
Q,-1
K,-1
A,-3
U,2
K,1
K,-1
Q,-1
K,1
B,-1
Q,2
B,1
U,-1
A,3
T,1
U,-1
S,1
F,-1
U,2
T,1
S,-1
S,2
S,-2
A,-3
A,3
S,2
A,-2
F,-1
T,-2
Q,-1
B,-1
S,-1
S,-1
K,-1
S,1
U,-1
S,1
E,-2
S,-1
K,-1
F,-1
Q,1
A,1
J,1
B,1
Q,-1
S,1
Q,1
A,-1
U,1
J,1
B,-1
U,-1
J,-1
T,1
U,1
J,1
A,1
J,-2
F,1
E,2
U,-1
K,1
A,-1
S,-2
T,-1
E,-1
K,-1
Q,-2
Q,1
E,-1
B,1
Q,-1
U,1
F,-1
U,-2
E,2
L,2
A,1
A,-1
F,2
M,-1
M,1
F,1
L,-2
K,2
B,-1
L,1
K,-2
K,2
F,-2
B,1
E,-2
E,1
B,-1
E,-1
E,1
E,-1
L,1
M,-1
J,2
V,-2
J,-1
V,-1
V,2
V,-2
K,-1
J,-1
B,1
R,-1
R,1
M,1
K,-1
L,-1
R,-2
E,2
K,1
A,2
E,-1
L,1
K,1
R,2
E,1
E,-2
K,-1
L,-2
R,-3
K,-1
J,1
N,1
S,-3
J,-1
U,5
A,-2
X,-1
B,-1
U,-3
N,1
E,2
B,1
N,-1
U,-2
N,1
N,-1
A,1
E,-1
E,1
A,-1
X,1
X,-1
E,-1
B,-1
B,1
N,1
A,2
U,2
U,-1
E,-1
A,-1
E,2
X,1
A,-1
A,1
F,2
X,-1
N,-1
F,-2
U,4
B,-1
E,-2
J,1
S,3
A,-1
K,2
A,-1
B,1
S,-1
B,-1
E,-1
S,1
K,-1
K,2
F,-1
B,1
G,-2
X,1
U,-3
G,-1
F,1
K,-1
X,-1
G,1
U,-1
V,-2
X,-1
S,-1
U,-1
H,1
C,1
S,1
K,-1
S,-1
H,1
N,1
S,-1
S,2
V,-2
S,-2
I,-1
S,2
V,1
J,-1
U,2
P,-1
J,1
O,1
B,-1
U,-2
I,-1
V,-1
P,-1
I,1
S,-2
V,2
U,2
V,-1
N,-1
B,2
S,2
N,1
V,-1
K,2
C,-1
N,-1
C,1
U,2
H,3
P,1
P,-1
V,1
P,1
K,-2
S,-2
B,-1
S,2
I,-1
P,-1
P,1
U,-3
X,1
B,-1
P,-1
J,1
S,-2
O,-1
N,1
J,-1
O,1
H,-1
J,1
J,-1
C,-1
B,1
C,1
I,-1
N,-1
S,1
C,1
B,-1
D,-1
V,-1
D,1
H,-1
B,1
D,-1
U,2
P,-2
P,3
B,-1
X,-1
G,-1
I,-1
U,-2
V,1
V,-1
D,1
S,1
C,-1
P,-1
B,2
P,1
P,-1
J,-1
H,1
K,1
J,1
K,1
N,1
F,-1
N,-1
B,-2
H,-1
C,-1
V,1
F,1
X,2
N,1
J,1
H,2
N,-1
J,1
U,1
B,1
P,1
K,-2
B,-1
I,1
S,-1
C,2
V,-1
T,-1
T,1
E,1
J,-1
J,1
O,-1
A,1
K,1
B,1
S,1
K,-1
V,1
V,-1
L,-1
K,2
P,1
L,1
P,-1
O,1
L,-1
N,1
P,-1
C,-2
N,-1
A,-1
P,1
F,-1
C,2
O,-1
B,-1
F,1
U,-2
C,-2
P,-1
E,-1
M,-1
T,-1
B,1
V,1
I,1
I,-2
C,1
I,2
P,2
C,-1
B,-1
U,3
K,-2
E,1
E,-1
S,-2
G,1
I,-1
C,2
S,2
M,1
D,-1
M,-1
P,-4
M,-1
N,1
S,-1
N,-1
P,1
M,-1
M,2
X,1
