car,move
P,2
AH,1
AH,-1
AH,1
AB,-1
H,1
AJ,-1
H,-1
AQ,-1
AJ,1
AC,-2
AC,1
P,-1
AJ,-1
AC,1
AJ,1
O,1
AD,1
H,-1
L,1
AQ,1
AL,-1
H,1
AM,-1
G,-1
P,-1
G,1
D,1
L,-1
G,-1
A,-1
B,-1
AG,1
AJ,-1
AP,-1
AA,-1
AB,1
J,-1
L,1
P,1
G,1
H,1
L,-1
H,-1
A,-5
L,1
G,-1
K,1
AA,1
B,-2
A,1
K,-1
N,-1
AB,-1
AC,-1
AK,-1
AO,1
B,2
A,-1
B,-2
AC,-1
I,-1
AO,-1
M,1
K,1
AR,-1
AO,1
A,1
D,-1
AR,1
J,1
A,-1
P,-1
AO,-1
P,2
J,-1
H,2
AM,1
AM,-1
K,-1
D,1
P,-1
AP,1
K,1
AK,1
B,1
AM,1
AD,-1
B,-1
AJ,1
AL,1
AA,-5
AH,-1
M,-1
B,-1
K,-1
M,1
M,-1
M,1
B,2
D,-1
AJ,-1
A,1
AL,-1
A,-1
AG,-1
D,1
A,1
AQ,-1
A,-1
AK,-1
AJ,1
A,1
AJ,-1
AR,-1
J,1
AJ,1
P,1
AJ,-1
AC,1
A,-1
AA,-1
AA,1
AR,1
H,-1
B,-1
AJ,1
M,-1
L,-1
AM,-1
M,1
AM,1
AC,-2
AR,-1
L,1
A,1
B,1
AM,-1
M,-1
AM,1
AB,1
N,1
AJ,-1
P,-1
AQ,1
G,1
P,-1
AL,1
H,1
D,-1
A,1
AQ,-2
P,2
J,-1
P,-2
J,1
AL,-1
B,-1
A,-2
A,2
K,1
AB,-1
AM,-1
K,-1
H,-1
O,-1
I,1
AR,1
L,-1
AB,1
AP,-1
AK,1
AP,1
AJ,1
AQ,1
AB,-1
AH,1
A,-1
AF,-1
L,1
I,-1
AG,-1
AK,-1
AD,1
AG,1
AQ,1
AN,-1
AB,1
AM,1
L,-1
J,1
I,1
I,-1
AL,1
AB,-1
AO,-1
AL,-1
AC,1
H,1
AG,1
H,-1
J,-2
AC,-1
AL,1
G,-1
G,1
L,1
B,1
AG,-1
AK,1
AO,1
L,-1
P,1
AN,1
AC,2
AC,1
AB,1
P,-1
AL,-1
A,-1
AD,-1
AH,-1
I,1
AA,-1
AG,1
A,1
AH,1
H,-1
G,-1
AH,-1
L,1
K,1
A,-1
A,1
AB,-1
AE,1
AC,-1
F,1
P,2
F,-1
AL,1
G,1
P,-1
J,1
AH,1
AG,-1
B,1
J,-1
J,1
B,1
AD,2
P,1
G,-1
P,-2
AQ,-1
G,1
P,1
AK,-1
AQ,1
P,1
AK,1
H,1
G,-1
B,-1
P,-2
AA,1
N,-1
AQ,-1
K,-1
A,-1
AC,1
AQ,1
AC,-1
K,1
K,-1
K,1
AQ,-1
M,1
J,-1
A,1
AC,1
P,1
AC,-3
P,-1
AA,1
AJ,-1
AJ,1
AK,-1
AC,1
AK,1
J,1
AC,-1
P,2
AL,-1
J,-1
AJ,-1
AQ,1
AG,1
AM,-1
M,-1
AK,-1
AK,1
N,1
F,1
P,-2
AM,1
AG,-1
J,1
B,1
AP,-1
AG,1
AO,1
A,-1
AC,2
A,1
AC,1
AL,1
AE,1
P,1
AO,-1
AL,-1
AH,1
AE,-1
AB,1
AE,1
AH,-1
AP,1
AD,-1
AA,4
A,-1
AE,-1
F,-1
P,1
F,1
H,-1
AM,-1
AM,1
AL,1
AB,-1
AJ,1
AB,1
AJ,-1
E,1
AB,-1
AJ,1
Q,-1
B,-2
J,-1
W,1
A,1
AA,3
AL,-1
AB,1
B,1
H,1
AE,1
P,-1
AH,1
S,1
B,-1
J,1
J,-1
AH,-1
AH,1
J,1
I,-1
AH,-1
P,1
Q,2
I,1
AH,1
AE,-1
H,-1
AG,-1
AD,-1
A,-1
C,2
AG,1
AI,-3
AG,-1
AD,1
B,1
AD,-1
AB,-1
K,-1
P,-1
C,-1
H,1
P,1
W,2
Q,-1
P,-1
AG,1
V,1
L,-1
AD,2
AD,-1
Q,3
AD,1
P,1
A,1
AG,-1
Q,-3
AB,1
V,-1
C,-1
S,-1
AD,-2
J,1
V,1
E,-1
P,-1
E,1
AE,-1
AB,-1
AC,-3
H,-1
AD,1
AN,-1
E,-1
A,-1
AC,3
S,1
AM,1
A,1
AM,-1
V,-1
Q,1
AD,-1
F,-1
N,-1
A,-1
AO,-1
M,1
P,1
H,1
AD,1
AQ,-1
Y,-1
A,1
AQ,1
P,-2
AQ,-1
Q,-1
Q,1
A,-1
Q,-1
H,-1
AQ,1
AG,1
AA,-2
AD,-1
B,1
A,1
J,1
AE,-1
AC,-1
AE,1
Q,1
AA,2
AK,-1
AK,1
AE,-1
AC,-2
B,-1
AO,1
M,-1
Q,-1
B,-1
AO,-1
Q,1
N,1
N,-1
AE,1
AC,2
N,1
F,1
I,-1
AO,1
E,1
AC,-2
P,1
I,1
AC,1
AK,-1
AG,-1
AE,-1
B,-1
P,-1
AN,1
A,-1
Q,-1
AK,1
AF,1
S,-1
I,-1
E,-1
H,3
AQ,-1
B,1
AE,1
H,-1
E,1
AE,-1
AE,1
O,1
A,1
C,1
D,1
A,-2
AK,-1
H,1
AD,1
AC,-1
S,1
AC,1
A,2
U,1
D,-1
J,1
N,1
F,2
AK,1
AQ,1
H,-2
L,1
A,-1
H,1
G,1
AG,1
A,-1
AD,-1
AE,-1
K,1
S,-1
AE,1
N,-1
G,-1
U,-1
E,2
AE,-1
K,-1
F,1
Y,1
R,-1
K,1
AG,-1
K,-1
E,-1
L,-1
P,1
O,-1
S,1
L,1
AK,-1
G,1
S,-1
H,1
X,-1
AF,-1
S,1
Q,1
AN,-1
K,1
AN,1
V,1
Q,1
AQ,-2
F,1
AQ,2
AF,1
R,-1
AF,-1
A,1
AF,1
X,1
G,-1
N,-1
C,2
R,1
U,-1
O,1
AG,1
AG,-1
C,-2
F,-2
A,1
AQ,-2
AR,-1
AC,-1
AR,1
AE,1
C,1
AQ,1
Q,-1
AE,-1
A,-2
AB,1
X,-1
AR,-1
AB,-1
V,-1
B,-1
A,1
C,-1
F,1
K,-1
F,1
AR,1
AK,1
X,1
AB,1
D,1
Q,-1
Y,-1
D,-1
AQ,-1
U,3
N,2
U,-1
U,3
Q,1
K,1
O,-1
R,-1
B,1
AE,1
B,-1
O,1
M,-1
N,2
O,-1
AK,-1
AQ,1
X,-1
P,-1
G,2
AD,1
K,-1
T,-2
C,-1
F,-1
L,-1
X,8
X,-1
AK,1
X,1
AF,-1
AD,-1
N,-1
H,-1
AQ,-1
X,-1
J,-4
S,1
J,2
AQ,1
G,-1
P,2
AN,-1
T,1
Q,-1
AM,1
Q,-1
A,1
T,-1
A,-1
G,2
Y,1
Q,2
Q,-1
AD,1
E,1
X,1
T,1
A,1
J,-2
AM,-1
L,1
C,1
L,-1
AK,-1
T,-1
R,-1
X,-1
Y,-1
P,-1
AQ,1
AM,1
X,1
AQ,-1
N,1
AQ,1
A,1
W,1
S,-1
C,-1
AD,-1
H,1
N,-1
L,1
H,-1
S,-1
AR,-1
AD,1
AI,1
K,1
S,1
Q,1
C,1
P,1
B,1
T,2
H,1
X,1
