car,move
G,1
G,-1
K,1
M,1
K,-1
G,1
W,-1
J,1
U,1
H,1
M,-2
W,1
K,1
U,-1
G,-1
U,1
I,-1
G,1
H,1
N,-1
W,-1
I,1
Q,1
H,1
J,-1
Y,-1
X,1
Q,-1
G,1
V,-1
U,1
C,-1
Q,1
O,-1
Q,-1
Y,1
Q,1
K,1
L,-1
N,-1
G,-1
V,-1
S,1
Y,-1
X,2
U,-2
G,1
U,2
M,1
K,3
Y,1
S,-1
V,1
O,1
Y,-1
U,-1
G,-1
X,1
L,1
V,2
W,-1
N,1
M,1
P,1
C,1
Q,-3
O,1
N,1
M,-2
T,-1
O,-1
Y,1
G,-1
R,-1
T,-1
O,1
X,1
W,-1
Y,-1
L,-1
L,1
W,1
T,2
L,-1
O,-1
T,-1
X,-1
Y,1
W,1
P,-1
T,1
R,1
X,3
