car,move
T,-1
J,-2
J,2
E,1
A,1
T,-2
Q,-1
U,-1
A,-1
A,2
A,-1
T,1
A,-1
T,-1
A,1
U,1
K,-2
Q,1
K,-2
Q,-1
A,1
S,-3
U,-1
K,1
Q,-1
U,-1
T,1
A,-2
L,2
T,-3
M,-2
V,-1
V,-1
A,2
K,-2
M,-1
L,-1
S,-2
T,1
U,6
S,1
V,1
K,1
V,1
L,-1
A,-1
K,-1
Q,1
S,-1
V,-2
A,1
U,-2
R,-1
Q,-1
T,-1
R,-1
J,-1
J,1
L,2
J,-2
A,-1
V,-1
L,-2
E,3
R,-1
N,1
T,-1
F,-2
E,-1
T,1
A,1
F,2
T,-1
U,1
T,-1
U,-1
T,2
F,-2
A,-1
U,-1
A,1
X,-1
V,1
T,-1
A,-1
A,1
E,1
G,-2
A,-1
X,1
F,1
G,-1
E,-1
F,-1
E,1
E,-1
X,-1
A,1
V,-1
T,-1
E,1
N,1
X,1
X,-1
V,-3
T,1
E,-1
N,-1
E,1
A,-1
E,-1
N,1
B,1
N,-1
B,1
X,-1
B,-2
N,1
X,2
U,-3
U,3
U,-2
E,1
V,4
G,3
U,-1
E,-1
A,1
F,2
E,1
X,-2
G,-3
F,-1
B,1
X,1
A,1
X,-1
E,-1
U,1
A,-2
H,2
E,1
N,-1
H,-1
N,1
N,-1
E,-1
N,1
C,1
N,-1
H,1
H,-1
C,-1
U,1
N,1
A,1
F,-1
E,1
H,1
U,1
T,-1
F,1
C,1
T,1
H,-1
U,-1
H,1
F,-1
A,3
C,1
U,-1
G,3
N,-1
T,1
U,-1
N,1
G,-1
A,1
B,1
F,1
U,1
D,-3
G,-1
A,-2
D,1
D,-2
G,1
B,-1
A,-2
F,-1
D,-1
F,1
D,-1
F,-1
B,-1
C,-2
A,-1
F,4
B,2
D,1
B,-2
U,-1
D,-1
U,1
G,2
A,1
F,-4
E,-1
E,1
B,1
D,2
T,-1
C,1
U,-1
T,1
C,-1
G,-2
H,-1
C,1
H,1
I,-2
C,-1
N,-1
G,-1
I,1
T,-2
B,-1
B,1
F,1
T,1
F,-1
F,1
I,1
G,2
C,1
E,-1
H,-1
U,3
H,1
U,-3
E,1
C,1
B,-1
T,-1
C,-2
E,-1
I,-1
U,4
D,-1
C,1
B,1
E,1
E,-1
D,1
T,2
B,-1
P,-3
C,-1
D,-1
A,-1
P,2
E,1
W,-1
G,-1
G,1
P,-3
I,1
U,1
H,-1
E,-1
A,1
T,-2
T,2
F,2
D,1
E,-1
W,-2
D,-1
T,-2
W,1
W,1
U,-5
E,2
W,1
T,2
N,1
W,-3
N,-1
T,-2
G,-2
F,1
G,1
U,3
D,1
T,2
N,1
D,-2
W,1
A,-1
W,2
B,1
U,-1
B,1
W,-1
G,-1
U,-2
G,1
G,-1
H,1
A,1
H,-1
B,-2
G,2
G,-1
N,-1
W,1
O,1
B,1
G,1
A,-1
B,-1
O,-1
U,5
E,-2
D,1
T,-1
E,1
D,1
A,1
O,1
T,1
B,1
D,-1
B,-1
E,-1
H,2
G,1
F,-1
D,1
D,-2
H,-1
F,-1
G,-1
A,-1
I,-1
F,2
A,1
P,1
E,2
D,2
A,-1
T,-1
E,-1
F,-2
H,1
E,-1
C,1
A,1
T,-1
E,1
F,-2
E,1
T,2
D,-1
H,1
E,-1
X,2
F,2
V,-1
C,-1
T,-1
X,-1
H,-1
A,-1
P,2
V,1
C,1
U,-5
E,1
U,6
N,1
X,-1
T,1
G,-2
N,-1
D,-1
D,1
D,-1
D,1
F,-1
B,1
D,1
C,-1
T,-1
X,2
N,-2
B,-1
U,-5
H,1
D,-1
C,1
T,1
B,1
N,3
P,-1
H,-1
N,-3
P,-2
D,-1
C,-1
B,-1
G,1
H,2
X,1
