car,move
T,-6
U,-1
T,3
Q,-1
Q,1
K,-2
S,-2
K,-2
U,1
S,1
T,1
Q,-1
S,-2
G,-4
U,-1
E,1
U,1
J,-1
A,2
N,-1
M,1
S,2
K,-1
Q,1
A,-1
T,2
K,1
K,-1
T,-2
K,1
S,-1
U,-2
A,1
G,1
Q,-1
G,-1
Q,-1
K,-1
U,1
L,1
M,-1
K,1
L,-1
G,1
J,-1
L,1
U,1
L,-1
G,-1
U,-2
J,1
A,-1
K,-1
L,2
N,1
K,1
K,-1
M,-1
K,1
A,1
M,1
A,-2
G,1
K,2
J,1
L,-1
J,-1
A,1
K,-3
U,2
U,-1
J,-1
K,1
G,-1
K,-1
U,1
K,1
A,-1
G,1
K,1
N,-1
M,1
A,1
M,-1
N,1
A,1
E,1
U,-2
E,-1
U,2
E,1
N,-1
O,-1
K,-1
A,-2
K,1
U,-1
K,-1
U,1
L,-1
K,1
L,1
U,-2
L,1
M,-1
V,-3
R,-1
K,-1
O,1
N,1
G,-1
N,-1
G,1
R,-1
E,1
A,2
O,-2
R,2
F,-2
O,2
M,1
O,-1
B,1
G,-1
K,-1
A,-1
O,1
F,-2
M,1
M,-2
A,2
M,1
G,1
M,1
R,-2
A,-1
M,-1
L,-2
B,-1
G,-1
A,-1
M,1
A,1
R,2
N,-1
E,-2
A,-1
R,-2
J,1
N,1
U,1
Q,1
G,1
U,5
M,-1
R,2
N,1
N,-2
S,-2
R,-2
F,1
U,-3
S,1
R,1
Q,-1
R,-1
O,-1
U,-2
V,-3
A,1
O,1
A,-1
F,-1
Q,1
J,1
O,-1
A,1
J,-1
Q,-1
J,1
L,1
U,5
J,-1
J,1
L,1
M,-1
M,1
R,1
G,-1
S,1
T,-1
A,-1
G,1
N,1
F,1
U,-1
S,-1
U,-2
V,-1
N,-1
V,1
U,1
N,1
O,1
N,-1
V,-1
L,-1
F,-1
R,-1
R,2
G,-1
M,1
N,1
G,1
S,-1
M,-1
R,-2
B,1
L,1
V,2
O,-1
S,2
L,-2
L,1
V,-1
U,1
L,-1
R,-1
O,1
N,1
A,1
T,1
G,-1
T,-1
S,-1
N,1
V,1
X,-1
G,1
F,1
G,-1
S,1
S,-1
A,-1
K,1
S,1
K,-1
T,1
V,-2
K,1
S,-1
U,-1
B,-1
G,1
V,2
A,-1
E,-1
K,1
B,2
T,-1
K,-1
E,1
U,-2
U,3
K,1
X,1
J,1
S,1
E,-1
T,1
K,-1
U,-4
T,-1
S,-2
S,2
B,-1
U,2
S,-2
U,2
G,1
B,1
J,-1
B,1
S,1
U,-1
T,1
S,1
S,-2
J,-1
G,-1
B,-3
X,-2
S,1
E,1
S,1
G,-1
V,-1
A,2
U,-4
H,1
J,-1
H,-1
V,1
J,1
H,2
G,1
I,-1
U,2
C,1
G,-1
G,1
V,-1
J,-1
E,1
N,1
E,-1
I,-2
A,-2
U,1
V,-1
P,-2
U,-3
K,1
C,-1
W,-2
E,1
B,1
K,-1
B,-1
G,-1
N,-1
C,2
A,1
B,1
U,7
E,-1
W,1
J,1
V,1
V,-1
C,-1
A,-1
V,1
E,-1
P,1
V,-1
P,-1
C,-1
W,-1
I,1
B,-1
N,1
U,-1
E,1
C,1
G,1
C,-1
K,1
A,1
V,1
S,-1
I,1
N,-1
U,-2
B,2
U,-3
K,-1
U,4
W,1
W,1
O,1
K,1
A,1
K,-1
V,1
P,1
B,-2
K,-1
A,-1
S,1
K,2
B,1
C,1
P,-1
U,-3
V,-1
B,-1
I,-2
P,1
A,1
H,3
K,-2
I,1
V,1
C,-1
N,1
U,1
X,2
K,1
X,-2
A,-2
J,-1
E,-1
U,-1
N,-1
E,1
I,1
K,1
A,1
E,1
C,1
K,-1
V,-2
X,2
A,-1
K,1
V,1
I,-1
I,-1
U,-1
E,-1
V,-1
C,1
D,-1
B,1
U,-1
A,1
U,1
J,2
T,-1
A,-1
D,1
E,-1
V,1
E,1
U,1
X,-1
X,1
U,2
H,-2
K,1
A,3
T,1
D,-1
J,1
P,-3
U,-4
U,1
A,-3
K,-1
P,1
K,-1
X,1
