car,move
H,-1
U,1
T,-1
J,1
U,-1
M,1
H,1
D,1
U,1
K,1
D,-1
H,1
V,-1
T,1
G,1
M,-1
G,-1
U,-1
V,2
U,1
H,2
D,1
V,-1
M,-1
B,1
A,1
M,1
V,1
M,-1
U,-1
A,-1
P,1
B,-1
D,-1
X,1
Q,1
U,1
N,-1
J,-1
Q,-1
X,-1
T,-1
N,1
W,-1
P,-1
Y,-1
J,1
Y,1
M,2
G,1
D,1
C,-1
W,1
U,-1
N,-1
V,-1
O,-1
U,1
T,1
M,-2
K,1
L,-1
D,-1
X,1
D,1
U,-1
G,1
V,-2
O,-1
U,2
T,-1
O,1
W,-1
Y,-1
N,-1
S,1
G,-1
U,-1
X,-1
X,1
N,1
X,-1
K,3
O,-1
T,1
U,1
P,-1
O,1
N,-1
U,-1
O,-1
T,-1
O,1
D,-1
S,-1
J,-1
O,-1
M,1
V,2
M,-1
L,1
X,4
L,-1
G,1
X,3
