car,move
U,1
G,1
U,-1
M,1
V,-1
Q,1
J,1
D,1
Q,-1
K,1
Q,1
G,-1
D,-1
V,1
U,1
H,2
G,1
C,-1
V,-1
U,-1
V,1
U,1
W,-1
W,1
I,-1
M,-2
N,-1
X,1
Q,-1
N,-1
I,1
U,-1
U,1
X,-1
M,2
T,-1
H,1
J,-1
U,-1
M,-2
T,1
W,-1
X,3
O,-1
G,1
K,1
O,-1
U,1
W,1
O,1
T,-1
U,-1
O,-1
G,-1
T,1
M,1
L,-1
V,1
P,1
M,-1
L,1
P,-1
Z,-1
X,-2
J,1
X,-1
L,-1
V,-3
H,-1
U,1
H,1
X,1
J,-1
W,-2
X,2
Q,-1
S,1
Q,-1
K,1
T,-1
Z,1
Q,2
W,2
Z,-1
K,2
T,1
Y,1
U,1
X,3
Z,-1
K,-1
W,-1
M,1
Z,1
Y,1
N,1
J,1
G,1
M,-1
G,-1
H,-1
W,-1
Q,-2
K,-2
H,1
K,2
Y,3
W,1
Y,-3
O,-1
X,-1
M,1
U,-1
W,-1
X,1
J,-1
T,-2
T,2
R,-1
M,-1
O,1
N,-1
O,-1
N,3
P,-1
W,1
P,1
K,-1
J,1
C,1
N,-1
G,-1
Y,-1
D,1
W,-2
U,-1
Q,-1
B,3
W,1
R,1
W,-1
R,-1
K,-1
S,-1
Y,4
Z,1
Q,1
M,1
D,-1
U,1
D,1
V,2
M,-1
R,-1
A,2
B,-1
N,-1
B,1
R,2
A,1
A,-2
Z,-1
D,-1
Y,-5
H,-1
U,-1
O,1
H,1
J,-1
Z,-1
V,-2
A,1
V,3
Y,4
R,-1
O,-1
W,2
Y,-4
G,1
W,1
M,1
O,1
P,1
W,-2
Q,-1
X,1
